name,affiliation
Ruqian Lu,"Academician, Chinese Academy of Sciences, China"
Meikang Qiu,"Professor, Augusta University, USA"
Witold Pedrycz,"Professor, University of Alberta, Canada"
Guihai Chen,"Professor, Shanghai Jiao Tong University, China"
Latifur Khan,"Professor, University of Texas at Dallas, USA"
Xindong Wu,"Professor, Hefei University of Technology, China"
Giovanna Castellano,"Associate Professor, University of Bari, Italy"
Zhihui Lu,"Professor, Fudan University, China"
Md Liakat Ali,"Assistant Professor, Rider University, USA"
Mingsong Chen,"Professor, East China Normal University, China"
Jihe Wang,"Associate Professor, Northwestern Polytechnical University, China"
Thang N. Dinh,"Associate Professor, Virginia Commonwealth University, USA"
Yi He,"Assistant Professor, Old Dominion University, USA"
Christan Grant,"Associate Professor, University of Florida, USA"
Shirui Pan,"Professor, Griffith University, Australia"
Hongchang Gao,"Assistant Professor, Temple University, USA"
Yi Yu,"Assistant Professor, National Institute of Informatics, Japan"
Jiliang Tang,"Professor, Michigan State University, USA"
Yao Ma,"Assistant Professor, New Jersey Institute of Technology, USA"
Xiaofeng Gao,"Professor, Shanghai Jiao Tong University, China"
Xiaochun Yang,"Professor, Northeastern University, China"
Linghe Kong,"Professor, Shanghai Jiao Tong University, China"
Sukun Li,"Assistant Professor, Adelphi University, USA"
Yongxin Zhu,"Professor, Shanghai Advanced Research Institute, China"
Songmao Zhang,"Professor, Chinese Academy of Sciences, China"
Han Qiu,"Assistant Professor, Tsinghua University, China"
Gerard Memmi,"Professor, Telecom Paris, France"
Younghe Park,"Associate Professor, San Jose State University, USA"
Liang Zhao,"Assistant Professor, Emory University, USA"
Wenbin Zhang,"Assistant Professor, Florida International University, USA"
Hanghang Tong,"Associate Professor, University of Illinois at Urbana-Champaign, USA"
Ankit Agrawal,Northwestern University
Leman Akoglu,Carnegie Mellon University
Elena Baralis,Politecnico di Torino
Christian Boehm,University of Munich
Francesco Bonchi,ISI Foundation
Chris Clifton,Purdue University
Diane Cook,Washington State University
Carlotta Domeniconi,George Mason University
Panagiotis Karras,Aarhus University
Eamonn Keogh,University of California Riverside (UCR)
Danai Koutra,"University of Michigan, Ann Arbor / Amazon"
Xiaoli Li,"Institute for Infocomm Research, A*STAR"
Jessica Lin,George Mason University
Xuemin Lin,The University of New South Wales
Huan Liu,Arizona State University
Shirui Pan,Griffith University
Evangelos Papalexakis,UC Riverside
Jian Pei,Simon Fraser University
Naren Ramakrishnan,Virginia Tech
Chandan Reddy,Virginia Tech
Matthias Schubert,"MCML, LMU Munich"
Thomas Seidl,Ludwig-Maximilian-Universität München
Kyuseok Shim,Seoul National University
Myra Spiliopoulou,University of Magdeburg
Karthik Subbian,Amazon
Jie Tang,Tsinghua University
Hanghang Tong,University of Illinois at Urbana-Champaign
Vincent S. Tseng,National Yang Ming Chiao Tung University
Jilles Vreeken,CISPA Helmholtz Center for Information Security
Fei Wang,Department of Healthcare Policy and Research. Weill Cornell Medicine. Cornell University
Jianyong Wang,Tsinghua University
Jia Wu,Macquarie University
Hui Xiong,Rutgers University
Shuicheng Yan,Sea AI Lab
Aidong Zhang,University of Virginia
Chengqi Zhang,University of Technology Sydney
Min-Ling Zhang,"School of Computer Science and Engineering, Southeast University"
Weinan Zhang,Shanghai Jiao Tong University
Zhongfei Zhang,"Binghamton University, State University of New York"
Xiaofang Zhou,Hong Kong University of Science and Technology
Fuzhen Zhuang,"Institute of Artificial Intelligence, Beihang University"
Pedro Henriques Abreu,University of Coimbra
Ayan Acharya,CognitiveScale Inc.
Florian Adriaens,KTH
Aijun An,York University
Xiang Ao,"Institute of Computing Technology, CAS"
Annalisa Appice,Universita' degli Studi di Bari Aldo Moro
Hiroki Arimura,Hokkaido University
Renato Assunção,Universidade Federal de Minas Gerais
Andras A. Benczur,"Institute for Computer Science and Control, Hungarian Academy of Sciences"
Ryan Benton,"Computer Science, School of Computing, University of South Alabama"
Petko Bogdanov,"Department of Computer Science, University at Albany, SUNY"
Andrei Boiarov,SIT Rolos
Ludovico Boratto,University of Cagliari
Marco Botta,University?of Torino
Evgeny Burnaev,Skoltech
Luca Cagliero,Politecnico di Torino
Ricardo Campello,University of Newcastle
Michelangelo Ceci,University of Bari Aldo Moro
Jeffrey Chan,"School of Computing Technologies, RMIT University"
Wennan Chang,Purdue University
Guoqing Chao,Harbin Institute of Technology
Mandar Chaudhary,eBay
Enhong Chen,University of Science and Technology of China
Feng Chen,University of Texas at Dallas
Hongyang Chen,Zhejiang Lab
Huiping Chen,King's College London
Huiyuan Chen,Visa Research
Jia Chen,"University of California, Riverside"
Jinjun Chen,Swinburne University of Technology
Lei Chen,Hong Kong University of Science and Technology
Lingwei Chen,Pennsylvania State University
Ping Chen,University of Massachusetts Boston
Rui Chen,"Samsung Research America, Mountain View"
Tao Chen,China University of Geosciences
Tong Chen,The University of Queensland
Xi Chen,Ghent University
Zhenzhong Chen,Wuhan University
Zhiyuan Chen,University of Maryland Baltimore County
Lu Cheng,Arizona State University
Xueqi Cheng,"Institute of Computing Technology, Chinese Academy of Sciences"
Jaegul Choo,"Department of Computer Science and Engineering,Korea Univ,Seoul"
Petr Chunaev,ITMO University
Fu-Lai Chung,Hong Kong Polytechnic University
Michele Coscia,Harvard University
Bruno Cremilleux,University of Caen Normandy
Hejie Cui,Emory University
Alfredo Cuzzocrea,University of Calabria
Xuan-Hong Dang,IBM Research
Anirban Dasgupta,Indian Institute of Technology Gandhinagar
Debanjan Datta,Amazon Web Services
Cheng Deng,Xidian University
Shuiguang Deng,"College of Computer Science and Technology, Zhejiang University"
Djellel Difallah,NYUAD
Nemanja Djuric,Aurora Innovation
Josep Domingo-Ferrer,Universitat Rovira i Virgili
Bo Dong,Amazon Inc.
Yanni Dong,China University of Geosciences
Dejing Dou,University of Oregon
Lei Duan,Sichuan University
Christoph F. Eick,"Dept. of Computer Science, University of Houston"
Yujie Fan,Case Western Reserve University
Hua (Julia) Fang,Computational Statistics and Data Science (CSDS) lab
Fabio Fassetti,"DIMES, University of Calabria"
Wei Feng,Meta
Edouard Fouché,Karlsruhe Institute of Technology (KIT)
Yanjie Fu,Missouri S&T
Yanjie Fu,University of Central Florida
Yun Fu,Northeastern University
Esther Galbrun,University of Eastern Finland
Efstratios Gallopoulos,University of Patras
Matja? Gams,Jozef Stefan Institute
Aryya Gangopadhyay,"University of Maryland, Baltimore County"
Byron Gao,Texas State University
Yifeng Gao,The University of Texas Rio Grande Valley
Yue Gao,Tsinghua University
Paolo Garza,Politecnico di Torino
Flavio Giobergia,Polytechnic University of Turin
Rosalba Giugno,University of Verona
Aris Gkoulalas-Divanis,IBM Watson Health
Chen Gong,Nanjing University of Science and Technology
Le Gruenwald,University of Oklahoma
Ziyu Guan,"State Key Lab of ISN, School of Computer Science and Technology, Xidian University"
Ekta Gujral,Walmart
Francesco Gullo,UniCredit
Ruocheng Guo,"Bytedance AI Lab, UK"
Ting Guo,"University of Technology, Sydney"
Chowdhury Mohammad Rakin Haider,Purdue University
Maria Halkidi,University of Piraeus
Lawrence Hall,University of South Florida
Howard J. Hamilton,CS of University of Regina
Xiaotian Han,Texas A&M University
Mohammad Hasan,Indiana University Purdue University Indianapolis
Qing He,"Institute of Computing Technology, Chinese Academy of Sciences"
Xiaofeng He,East China Normal University
Yi He,Old Dominion University
Sibylle Hess,TU Eindhoven
Shen-Shyang Ho,Rowan University
Mahmud Shahriar Hossain,University of Texas at El Paso
Chun-Nan Hsu,UC San Diego
Haibo Hu,Hong Kong Polytechnic University
Hongsheng Hu,"Data61, CSIRO"
Liang Hu,University of Technology Sydney
Minqing Hu,Signifyd
Shizhe Hu,Zhengzhou University
Mengdi Huai,University of Virginia
Chao Huang,University of Notre Dame
Heng Huang,University of Pittsburgh; JD Finance America Coporation
Jianbin Huang,Xidian University
Jin Huang,Tsinghua University
Kai Huang,Hong Kong University of Science and Technology
Ling Huang,South China Agricultural University
Nina Hubig,Clemson University
Tsuyoshi Ide,IBM T. J. Watson Research Center
Stratis Ioannidis,Northeastern University
Ankit Jain,Meta Inc.
Kishlay Jha,University of Iowa
Zhe Jiang,University of Florida
Bo Jin,Dalian University of Technology
Huidong Jin,CSIRO
Ruoming Jin,Kent State University
Panos Kalnis,King Abdullah University of Science and Technology
Vana Kalogeraki,Athens University of Economics and Business
Konstantinos Kalpakis,UMBC
Toshihiro Kamishima,National Institute of Advanced Industrial Science and Technology (AIST)
Andrey Kan,Amazon
Bhargav Kanagal,Google
Zhao Kang,University of Electronic Science and Technology of China
Ben Kao,The University of Hong Kong
Hung-Yu Kao,National Cheng Kung University
Kamal Karlapalem,"International Institute of Information Technology, Hyderabad"
Saurav Karmakar,GESIS - Leibniz-Institut für Sozialwissenschaften in Köln
Kunal Khadilkar,Photoshop
Latifur Khan,University of Texas at Dallas
