A. Erdem Sariyuce,[University at Buffalo]
Aaron Tucker,[Cornell University]
Aastha Nigam,"[LinkedIn Corporation, LinkedIn Inc]"
Abdulaziz Alhamadani,[Unknown]
Abdulhakim Qahtan,[Utrecht University]
Abdullah Mueen,"[University of New Mexico, University of New Mexico, USA]"
Abir De,"[IIT Bombay, MPI-SWS]"
Abon Chaudhuri,"[Walmart Labs, Walmart Labs, USA]"
Adel Abusitta,[Unknown]
Adil SALIM,[KAUST]
Aditya Grover,[UC Los Angeles]
Aditya Pal,[Pinterest]
Aditya Prakash,"[Georgia Institute of Technology, USA]"
Adriano Veloso,[UFMG]
Agorita Polyzou,[FLORIDA INTERNATIONAL UNIVERSITY]
Agoritsa Polyzou,[Florida International University]
Ahmadreza Mosallanezhad,[Arizona State University]
Ahmed Aboutaleb,[Unknown]
Ahmed Alkenani,[Unknown]
Ahmed Rashed,"[Information Systems and Machine Learning Lab, University of Hildesheim, Information Systems and Machine Learning Lab (ISMLL), Institute of Computer Science, University of Hildesheim]"
Ahnaf Farhan,[Unknown]
Aidong Zhang,"[University of Virginia, University of Virginia, USA, UNIVERSITY OF VIRGINIA]"
Aijun An,"[York University, York University, Canada]"
Aisha Albqmi,[Unknown]
Ajay Jaiswal,[Unknown]
Ajim Uddin,"[Unknown, New Jersey Institute of Technology]"
Akhil Arora,[EPFL]
Albert Bifet,"[LTCI, Telecom ParisTech]"
Alberto Blanco-Justicia,[Unknown]
Albrecht Zimmermann,"[Université de Caen Normandie, Université Caen Normandie]"
Aleksandar Bojchevski,[Technical University of Munich]
Aleksandar Lazarevic,"[Stanley Black & Decker, Stanley Black & Decker, USA]"
Alessandro Bondielli,[Unknown]
Alessandro Epasto,"[Google inc, Google]"
Alessandro Renda,[Unknown]
Alessio Conte,[Unknown]
Alex Beutel,[Google]
Alex Deng,"[Airbnb, Microsoft]"
Alex Fabrikant,[Google]
Alex Gittens,"[RPI, Rensselaer Polytechnic Institute]"
Alexander Felfernig,"[Graz University of Technology, Austria]"
Alexander Gorovits,[University at Albany - SUNY]
Alexander Gutfraind,[U of Illinois Chicago]
Alexander Marx,[Unknown]
Alexandra Chouldechova,[CMU]
Alexandra Iacob,[Laboratoire de Recherche en Informatique]
Alexandre Plastino,"[Fluminense Federal University, Brazil]"
Alexandre Termier,"[Université Rennes 1, Université de Rennes 1]"
Alexandros Karatzoglou,[Google Research]
Alexandru Mara,[Ghent University]
Alfredo Cuzzocrea,"[University of Calabria, ICAR-CNR and University of Calabria, ICAR-CNR and University of Calabria, Italy]"
Ali Braytee,[Unknown]
Ali Mohammadi Shanghooshabad,[University of Warwick]
Alines Paes,[Federal University of Brazil]
Alireza Ganjdanesh,[University of Tehran]
Alireza Nouri,[Unknown]
Alireza Pourali,[Unknown]
Aljaž Osojnik,[Unknown]
Alok Choudhary,"[Northwestern University, USA]"
Alvin Chin,[BMW Group]
Amanda Minnich,[Lawrence Livermore National Lab]
Amarda Shehu,[George Mason University]
Ambuj Singh,"[University of California, Santa Barbara, USA, UC Santa Barbara, University of California, Santa Barbara]"
Amichai Painsky,"[MIT, MIT, Israel]"
Amin Omidvar,[Unknown]
Amirhossein Sayyafan,[Unknown]
Amr Ahmed,[Google]
An Xu,[University of Pittsburgh]
Ana Kostovska,[Unknown]
Ana Nogueira,[LIAAD - INESC TEC]
Ananth Grama,"[Purdue University, Purdue University, USA]"
Ananth Kalyanaraman,"[Washington State University, USA]"
Andras A. Benczur,"[Institute for Computer Science and Control, Hungarian Academy of Sciences, Hungarian Academy of Sciences, Institute for Computer Science and Control, Hungarian Academy of Sciences, Hungary]"
Andre Carvalho,"[USP, Brazil]"
Andre de Carvalho,[University of São Paulo]
Andrea Tagarelli,"[University of Calabria, University of Calabria, Italy, DIMES, University of Calabria, Italy, DIMES, University of Calabria]"
Andrea Tonon,[Unknown]
