name,affiliation
Erik Brunvand,SIGGRAPH 2023 Conference Chair
Yoon Chung Han,SIGGRAPH 2023 Art Gallery Chair
Nicolas Henchoz,SIGGRAPH 2023 Art Papers Chair
Chris Wyman,SIGGRAPH 2023 Courses Chair
Eveline Falcão,SIGGRAPH 2023 Creative Development Director
Nick Jushchyshyn,SIGGRAPH 2023 Education Chair
Kalina Borkiewicz,SIGGRAPH 2023 Electronic Theater Director
Mashhuda Glencross,SIGGRAPH 2023 Emerging Technologies Chair
Ginger Alford,SIGGRAPH 2023 Frontiers Chair
Josef Spjut,SIGGRAPH 2023 Games Focus Area Chair
Susan Reiser,SIGGRAPH 2023 General Submissions Chair
Joseph Cychosz,SIGGRAPH 2023 GraphicsNet Chair
Bonnie Mitchell,SIGGRAPH 2023 History Chair
Anna Carolina Muller Queiroz,SIGGRAPH 2023 Immersive Pavilion Chair
Asiya Gizatulina,SIGGRAPH 2023 International Resources Committee Chair
Courtney Starrett,SIGGRAPH 2023 Labs Chair
James Tompkin,SIGGRAPH 2023 Posters Chair
Christine Holmes,SIGGRAPH 2023 Production Sessions Chair
Cem Yuksel,SIGGRAPH 2023 Real-Time Live! Chair
Meaghan Long,SIGGRAPH 2023 Student Volunteer Chair
Alla Sheffer,SIGGRAPH 2023 Technical Papers Chair
Julia Read,SIGGRAPH 2023 VR Theater Director
Andres Burbano,SIGGRAPH 2024 Conference Chair
Mikki Rose,Blue Sky Studios (SIGGRAPH 2019 Conference Chair)
Natalie Rountree,Not specified (Adaptive Technology Co-Chair)
Dylan Moore,Not specified (Adaptive Technology Co-Chair)
Brittany Ransom,California State University Long Beach (Art Gallery Chair)
Everardo Reyes,Université Paris 8 (Art Papers Editor)
Joshua Grow,Zorroa (Attendee Experience Manager)
Mark Elendt,SideFX Software (Birds of a Feather Coordinator)
Adele Newton,"Executive Director, CS-Can (Business Symposium Chair)"
Emily Hsu,Blizzard Entertainment (Computer Animation Festival Director)
Michael Reed,Blue Sky Studios (Courses Chair)
Munkhtsetseg Nandigjav,Savannah College of Art and Design (Creative Development Director)
Andrew Duchowski,Clemson University (Education Liaison)
Courtney Starrett,Seton Hall University (Emerging Technologies Chair)
Christine Holmes,Blue Sky Studios (Experience Hall Manager)
Christopher Evans,Epic Games (Games Co-Chair)
Laurent Delayen,Epic Games (Games Co-Chair)
Ginger Alford,Trinity Valley School & Southern Methodist University (General Submissions Chair)
Carlos Cardenas,Qualcomm Inc. (GraphicsNet Chair)
June Kim,University of New South Wales (International Resources Chair)
Jim Kilmer,The OPAL Group (Pathfinders Coordinator)
AJ Christensen,National Center for Supercomputing Applications (NCSA) (Posters Coordinator)
Derrick Nau,DreamWorks Animation (Production Sessions Chair)
Gracie Arenas Stritmatter,BioWare/EA (Real-Time Live! Chair)
MK Haley,Walt Disney Imagineering (SIGGRAPH Frontiers Talks Chair)
Corinne Price,ICF (Student Volunteer Chair)
Chrissy Cain,Santa Cruz Bicycles (Studio Chair)
Olga Sorkine-Hornung,ETH Zurich (Technical Papers Chair)
Maxwell Planck,Adventure Lab (VR Theater Director)
Victoria Rege,Graphcore (Immersive Pavilion Chair)
Kristy Pron,Walt Disney Imagineering (SIGGRAPH 2020 Conference Chair)
Kristy Pron,Walt Disney Imagineering (SIGGRAPH 2020 Conference Chair)
MK Haley,Walt Disney Imagineering (ACM SIGGRAPH Frontiers Chair)
Christine Holmes,Blue Sky Studios (Adaptability Focus Area Co-Chair)
Natalie Rountree,Not specified (Adaptability Focus Area Co-Chair)
Nik Apostolides,Johns Hopkins University (Art Gallery Chair)
Andres Burbano,Universidad de los Andes (Art Papers Chair)
Corinne Price,ICF (Attendee Experience Manager)
Susan Reiser,UNC Asheville & Vassar College (Courses Chair)
Larry Bafia,Centre for Digital Media (Creative Development Director)
Munkhtsetseg Nandigjav,Savannah College of Art and Design (Electronic Theater Director)
Andrew Duchowski,Clemson University (Education Liaison)
Dani Belko,Facebook (Emerging Technologies Chair)
Carlos Gonzalez-Ochoa,Not specified (Games Focus Area Chair)
Ginger Alford,SMU Lyle School of Engineering (General Submissions Chair)
David Spoelstra,MediaMachine LLC (GraphicsNet Chair)
Chris Redmann,Unity Technologies (Immersive Pavilion Chair)
June Kim,University of New South Wales (International Resources Chair)
Ana Cecilia Balliache Liendo,Schell Games (Posters Chair)
Derrick Nau,DreamWorks Animation (Production Sessions Chair)
Marc Olano,"University of Maryland, Baltimore County (Real-Time Live! Chair)"
Thierry Frey,Reel FX Animation Studios (SIGGRAPH Executive Experience Co-Chair)
Joanne Green,University of Pittsburgh (SIGGRAPH Executive Experience Co-Chair)
Erik Brunvand,University of Utah (SIGGRAPH Labs Co-Chair)
Forrest Lucas,Two Bit Circus (SIGGRAPH Labs Co-Chair)
Sarah Rust,Rooster Teeth (Student Volunteers Chair)
Szymon Rusinkiewicz,Princeton University (Technical Papers Chair)
Monica Cappiello,Cogswell Polytechnical College (VR Theater Director)
Pol Jeremias-Vila,Pixar Animation Studios (SIGGRAPH 2021 Conference Chair)
Jeremias Pol Jeremias-Vila,SIGGRAPH 2021 Conference Chair
Tomasz Bednarz,ACM SIGGRAPH Frontiers Chair
Angus Forbes,SIGGRAPH 2021 Art Gallery Chair
Daria Tsoupikova,SIGGRAPH 2021 Art Papers Chair
Ana Cecilia Balliache,SIGGRAPH 2021 Attendee Experience Manager
Fernando de Goes,SIGGRAPH 2021 Courses Chair
Vib Soundrarajah,SIGGRAPH 2021 Creative Development Director
Monica Cappiello,SIGGRAPH 2021 Education Liaison
Mark Elendt,SIGGRAPH 2021 Electronic Theater Director
Paul Dietz,SIGGRAPH 2021 Emerging Technologies Chair
Carlos Gonzalez-Ochoa,SIGGRAPH 2021 Games Focus Area Chair
Chris Redmann,SIGGRAPH 2021 General Submissions Chair
Callie Holderman,SIGGRAPH 2021 Immersive Pavilion Chair
June Kim,SIGGRAPH 2021 International Resources Chair
Michael Reed,SIGGRAPH 2021 Labs Chair
David Spoelstra,SIGGRAPH 2021 Platform Technology Liaison
Melina Skouras,SIGGRAPH 2021 Posters Chair
John Kalaigian,SIGGRAPH 2021 Production Sessions Chair
Chris Evans,SIGGRAPH 2021 Real-Time Live! Chair
Andres Burbano,SIGGRAPH 2021 Retrospective Chair
Ian Failes,SIGGRAPH 2021 Special Projects Chair
Alex Bryant,SIGGRAPH 2021 Student Volunteers Chair
Sylvain Paris,SIGGRAPH 2021 Technical Papers Chair
Larry Bafia,SIGGRAPH 2021 VR Theater Director
Muunuu Nandigjav,
Munkhtsetseg Nandigjav,SIGGRAPH 2022 Conference Chair (she/her)
Daria Tsoupikova,SIGGRAPH 2022 Art Gallery Chair (she/her)
Daniel Cardoso Llach,SIGGRAPH 2022 Art Papers Chair (he/him)
Courtney Starrett,SIGGRAPH 2022 Community Engagement Chair (she/her)
Tamar Shinar,SIGGRAPH 2022 Courses Chair
Eveline Falcão,SIGGRAPH 2022 Creative Development Director (she/her)
Monica Cappiello,SIGGRAPH 2022 Education Liaison (she/her)
Darin Kyoichi Grant,SIGGRAPH 2022 Electronic Theater Director (he/him)
MK Haley,SIGGRAPH 2022 Emerging Technologies Chair
Vathsal Veena Shashidhar,SIGGRAPH 2022 Frontiers Chair (he/him)
Elizabeth Baumel,SIGGRAPH 2022 Games Focus Area Chair (they/them)
Chris Redmann,SIGGRAPH 2022 General Submissions Chair (he/him)
Stanley Chan,SIGGRAPH 2022 GraphicsNet Chair (he/him)
Derek Ham,SIGGRAPH 2022 Immersive Pavilion Chair (he/him)
June Kim,SIGGRAPH 2022 International Resources Committee Chair (she/her)
Kristy Pron,SIGGRAPH 2022 Labs Chair
Olga Diamanti,SIGGRAPH 2022 Posters Chair (she/her)
Stephanie Eisenberg,SIGGRAPH 2022 Production Sessions Chair (she/her)
Yibing Jiang,SIGGRAPH 2022 Real-Time Live! Chair (she/her)
Ben Lok,SIGGRAPH 2022 Retrospective Chair
Roy C. Anthony,SIGGRAPH 2022 Special Projects Chair
Diana Arellano,SIGGRAPH 2022 Student Volunteers Chair (she/her)
Niloy J. Mitra,SIGGRAPH 2022 Technical Papers Chair (he/him)
Yangos Hadjiyannis,SIGGRAPH 2022 VR Theater Director (he/him)
Erik Brunvand,SIGGRAPH 2023 Conference Chair
Erik Sintorn,"Chalmers University of Technology, Sweden"
Bart Wroński,NVIDIA Corporation
Michael Doggett,"Lund University, Sweden"
Angelo Pesce,Roblox
Markus Billeter,"School of Computing, University of Leeds"
Mauricio Vives,"Autodesk, Inc."
Xiaoxi Liu,Unity Technologies
Christoph Peters,University of Bonn
Tiow Seng Tan,National University of Singapore
Yusuke Tokuyoshi,AMD Japan Ltd.
Shiguang Liu,Tianjin University
Corey Toler-Franklin,University of Florida
Nicolas Savva,"Autodesk, Inc."
Markus Billeter,University of Leeds
Michal Iwanicki,Activision
Jon Hasselgren,NVIDIA
Elena Garces,Universidad
Konstantin Shkurko,University of Utah
Colin Barré-Brisebois,"SEED, Electronic Arts"
Javier Meseguer de Paz,Next Limit Technologies
Markus Billeter,University of Leeds
Yann Savoye,Liverpool John Moores University
Jiri Bittner,Czech Technical University in Prague
Bart Wronski,NVIDIA
John Hable,Unity Technologies
Eric Guérin,LIRIS
Ludovic Hoyet,INRIA Rennes - Centre Bretagne Atlantique
Ulf Assarsson,Chalmers University of Technology
Erik Sintorn,Chalmers University of Technology
Chris Oat,Rockstar Games
Soufiane Khiat,Unity Technologies
Dr. Mansi Sharma,"Indian Institute of Technology, Delhi"
Petrik Clarberg,NVIDIA
Wallace Lages,Northeastern University
Romain Pacanowski,INRIA
Christiaan Gribble,"Advanced Micro Devices, Inc."
Michael Doggett,"Lund University, Sweden"
Angelo Pesce,Roblox
Ulf Assarsson,"Chalmers University of Technology, Goteborg, Sweden"
Ari Silvennoinen,"Activision Publishing, Inc."
Petrik Clarberg,NVIDIA Corporation
Christoph Peters,Intel
Mauricio Vives,"Autodesk, Inc."
Marc Comino Trinidad,Universidad Rey Juan Carlos
Ann Mcnamara,Texas A&M University
Kun Zhou,Zhejiang University
José A. Iglesias Guitián,"University of A Coruña (UDC), CITIC - Centre for ICT Research"
Christiaan Gribble,SURVICE Engineering Company
Aline Normoyle,Bryn Mawr College
Markus Billeter,University of Leeds
Elena Garces,Universidad
Kevin Myers,Activision
Adrien Gruson,etsmtl.ca
Dr. Mansi Sharma,"Indian Institute of Technology, Delhi"
Yury Uralsky,NVIDIA
Tan Tiow Seng,National University of Singapore
Nicolas Savva,"Autodesk, Inc."
Corey Toler-Franklin,University of Florida
Eric Guérin,LIRIS
Romain Pacanowski,CNRS
Marco Salvi,NVIDIA
Qi Sun,New York University
Benjamin Watson,North Carolina State University
Konstantin Shkurko,University of Utah
Jiri Bittner,Czech Technical University in Prague
Erik Sintorn,Chalmers University of Technology
Chris Oat,Rockstar Games
Sumanta Pattanaik,UCF
Michal Iwanicki,Activision
Adrien Dubouchet,Activision
Shuang Zhao,"University of California, Irvine"
Sebastien Hillaire,Epic Games
Theresa Foley,NVIDIA Corporation
Helge Rhodin,"EPFL Lausanne, Switzerland"
Ludovic Hoyet,INRIA Rennes - Centre Bretagne Atlantique
Leonardo Scandolo,IMDEA Software
Yusuke Tokuyoshi,AMD Japan Ltd.
Jonathan Dupuy,Unity Technologies
Yann Savoye,Liverpool John Moores University
Ulf Assarsson,"Chalmers University of Technology, Goteborg, Sweden"
Ari Silvennoinen,"Activision Publishing, Inc."
Dan Casas,"Universidad Rey Juan Carlos, Madrid"
Eric Haines,NVIDIA
Zdravko Velinov,Creative Assembly Sofia
Mauricio Vives,"Autodesk, Inc."
Laurent Belcour,Unity Technologies
Jiri Bittner,Czech Technical University in Prague
Petrik Clarberg,NVIDIA
Marc Comino,Universitat Politècnica de Catalunya
Jonathan Dupuy,Unity Technologies
Tim Foley,NVIDIA
Mihai Francu,University of Copenhagen
Elena Garces,King Juan Carlos University
Christiaan Gribble,SURVICE Engineering Company
Adrien Gruson,McGill University
Sebastien Hillaire,Epic Games
Naty Hoffman,Lucasfilm
Daniel Holden,Ubisoft La Forge
Ludovic Hoyet,INRIA Rennes - Centre Bretagne Atlantique
Jose A. Iglesias Guitian,University of A Coruña (UDC)
Michal Iwanicki,Activision
Soufiane Khiat,Unity Technologies
Wallace Lages,Virginia Tech
Miles Macklin,NVIDIA / University of Copenhagen
Ann Mcnamara,Texas A&M University
Aline Normoyle,Swarthmore College
Chris Oat,Rockstar Games
Romain Pacanowski,CNRS
Sumanta Pattanaik,UCF
Jesús Pérez,URJC
Helge Rhodin,"EPFL Lausanne, Switzerland"
Marco Salvi,NVIDIA
Yann Savoye,Liverpool John Moore University / LJMU
Nicolas Savva,"Autodesk, Inc."
Erik Sintorn,Chalmers University of Technology
Qi Sun,Adobe Research
Corey Toler-Franklin,University of Florida
Yury Uralsky,NVIDIA
Michael Vance,Activision
