Aaron Hertzmann,[Unknown]
Adriana Schulz,"[University of Washington, Unknown]"
Adrien Bousseau,[Unknown]
Alexander Wilkie,"[Charles University, Prague, Unknown]"
Alla Sheff er,"[University of British Columbia, Amazon, Unknown]"
Alyn Rockwood,"[Boulder Graphics, USA]"
Amir Vaxman,[Unknown]
Amit H. Bermano,"[Tel Aviv University, Unknown]"
Ana Serrano,[Universidad de Zaragoza - I3A]
Anat Levin,[Unknown]
Andrea Tagliasacchi,"[Google Canada, University of Toronto, Unknown]"
Andrew Adams,[Unknown]
Angel Chang,[Unknown]
Angela Dai,[Technical University of Munich]
Angjoo Kanazawa,[UC Berkeley]
Anton Kaplanyan,[Unknown]
Ariel Shamir,[Unknown]
Arindam Dey,"[University of Queensland, Australia]"
Ayumi Kimura,"[Research Manager at OLM Digital, Inc., Japan / Program Manager and Collaboration Coordinator at CMIC, Victoria University of Wellington, New Zealand]"
Bedrich Benes,"[Purdue University, Unknown]"
Beibei Wang,[Unknown]
Belen Masia,"[Unknown, Universidad de Zaragoza, Spain]"
Bernd Bickel,[Unknown]
Bernhard Kerbl,[Unknown]
Bernhard Th omaszewski,[Unknown]
Bin Wang,[Unknown]
Bo Zhu,"[Dartmouth College, Unknown]"
Brian Wyvill,"[University of Victoria, Canada]"
Bruce H. Thomas,"[University of South Australia, Australia]"
C. Karen Liu,"[Stanford University, USA]"
Carol O'Sullivan,[Unknown]
Carol O’Sullivan,[Unknown]
Changxi Zheng,[Unknown]
Chi Wing Fu,"[Chinese University of Hong Kong, Unknown]"
Chris Wojtan,[Unknown]
Christian Th eobalt,[Unknown]
Christopher Batty,[Unknown]
Craig James,"[CSIRO, Australia]"
Céline Loscos,[Unknown]
Daniel Cohen-Or,[Tel Aviv University]
Daniel Filonik,"[EPICentre, UNSW Art & Design, Australia]"
Daniel Ritchie,[Brown University]
Daniel Sykora,[Unknown]
Danny Kaufman,"[Adobe, Unknown]"
David Bommes,[Unknown]
David Levin,"[University of Toronto, NVIDIA]"
David Spoelstra,"[MediaMachine LLC, USA]"
Denis Zorin,[Unknown]
Derek Bradley,[Unknown]
Diana Arellano,"[Mackevision, Germany]"
Diego Gutierrez,[Unknown]
