name,affiliation
Niloy J. Mitra,Unknown
Miika Aittala,NVIDIA
Bedrich Benes,Purdue University
Amit H. Bermano,Tel Aviv University
Mikhail Bessmeltsev,University of Montreal
Nicolas Bonneel,"CNRS, University of Lyon"
Marcel Campen,Osnabrück University
Jiawen Chen,Adobe Inc.
Sunghee Choi,Korea Advanced Institute of Science and Technology (KAIST)
Daniel Cohen-Or,Tel Aviv University
Angela Dai,Technical University of Munich
Fernando de Goes,Pixar
Tali Dekel,"Google Inc., Weizmann Institute"
Julie Digne,"CNRS, LIRIS"
George Drettakis,"INRIA, Université Côte d’Azur"
Sanja Fidler,"University of Toronto, NVIDIA"
Matthew Fisher,Adobe Research
Ohad Fried,Th e Interdisciplinary Center Herzliya
Chi Wing Fu,Chinese University of Hong Kong
Hongbo Fu,"City University of Hong Kong; CS Dept, Tsinghua University"
Th omas Funkhouser,"Princeton University, Google Research"
Yotam Gingold,George Mason University
Ioannis Gkioulekas,Carnegie Mellon University
Yulia Gryaditskaya,"CVSSP, University of Surrey"
Sehoon Ha,"Georgia Institute of Technology, Google Inc."
Rana Hanocka,University of Chicago
Mingming He,USC Institute for Creative Technologies (ICT)
Peter Hedman,Google Inc.
Felix Heide,"Princeton University, Algolux"
Philipp Herholz,ETH
Nicolas Holzschuch,INRIA
Hui Huang,Shenzhen University
Jia-Bin Huang,"Meta; University of Maryland, College Park"
Matthias Hullin,University of Bonn
Takeo Igarashi,"University of Tokyo, Preferred Networks"
Angjoo Kanazawa,UC Berkeley
Danny Kaufman,Adobe
Min H. Kim,Korea Advanced Institute of Science and Technology (KAIST)
Taku Komura,"University of Hong Kong, University of Edinburgh"
Mina Konakovic-Lukovic,MIT
Johannes Kopf,"Facebook, Oculus"
Kyros Kutulakos,University of Toronto
Jehee Lee,"Seoul National University, Movement Research Lab."
Sung-Hee Lee,Korea Advanced Institute of Science and Technology (KAIST)
David Levin,"University of Toronto, NVIDIA"
Tzu-Mao Li,"University of California, San Diego"
Ming Lin,"University of Maryland, University of North Carolina"
Lingjie Liu,Max-Planck-Institut für Informatik
Rafal K. Mantiuk,"University of Cambridge; Meta Platforms, Inc."
Rachel McDonnell,Trinity College Dublin
Pooran Memari,"CNRS, Ecole Polytechnique"
Dominik Michels,KAUST
Rahul Narain,Indian Institute of Technology Delhi
Maks Ovsjanikov,École Polytechnique
Nancy Pollard,Carnegie Mellon University
Gerard Pons-Moll,University of Tübingen
Jonathan Ragan-Kelley,"MIT CSAIL, UC Berkeley"
Daniel Ritchie,Brown University
Tobias Ritschel,University College London (UCL)
Adriana Schulz,University of Washington
Ana Serrano,Universidad de Zaragoza - I3A
Tianjia Shao,"State Key Lab of CAD and CG, Zhejiang University"
Alla Sheff er,"University of British Columbia, Amazon"
Hao Su,UCSD
Andrea Tagliasacchi,"Google Canada, University of Toronto"
Siyu Tang,ETH Zürich
Nils Th uerey,Technical University of Munich
Xin Tong,Microsoft
Wenping Wang,"Texas A&M University, University of Hong Kong"
Huamin Wang,"Style3D Research, Th e Ohio State University"
Alexander Wilkie,"Charles University, Prague"
Feng Xu,Tsinghua University
Ling-Qi Yan,UC Santa Barbara
Yuting Ye,"Reality Labs Research, Meta"
Sai-Kit Yeung,Hong Kong University of Science and Technology
Lap-Fai Yu,George Mason University
Hao (Richard) Zhang,"Simon Fraser University, Amazon"
Shuang Zhao,University of California Irvine
Bo Zhu,Dartmouth College
Hugues Hoppe,Unknown
Carol O’Sullivan,Unknown
Holly Rushmeier,Unknown
Chris Wojtan,Unknown
Steve Marschner,Unknown
Sylvain Paris,Unknown
