name,affiliation
Yang Liu,Amazon (USA)
Jordan Boyd-Graber,University of Maryland (USA)
Naoaki Okazaki,Tokyo Institute of Technology (Japan)
Anna Rogers,IT University of Copenhagen (Denmark)
Eduardo Blanco,University of Arizona (USA)
Yang Feng,Chinese Academy of Sciences (China)
Annie Louis,Google (UK)
Yun-Nung (Vivian) Chen,National Taiwan University (Taiwan)
Margot Mieskes,"University of Applied Sciences, Darmstadt (Germany)"
Siva Reddy,McGill University and Mila (Canada)
Danushka Bollegala,University of Liverpool (UK)
Ruihong Huang,Texas A&M University (USA)
Alan Ritter,Georgia Institute of Technology (USA)
Beata Beigman Klebanov,Educational Testing Service (USA)
Sunayana Sitaram,Microsoft Research India (India)
Jason Williams,Apple (USA)
Yao Fu,University of Edinburgh (UK)
Vishakh Padmakumar,New York University (USA)
Gisela Vallejo,University of Melbourne (Australia)
Ivan Vulić,University of Cambridge (UK)
Lu Wang,University of Michigan (USA)
Tao Yu,University of Hong Kong (Hong Kong)
Ayah Zirikly,Johns Hopkins University (USA)
Ryan Cotterell,ETH Zürich (Switzerland)
Lifu Huang,Virginia Tech (USA)
Chenghua Lin,University of Sheffield (UK)
Lei Shu,Google (USA)
Jesse Thomason,University of Southern California (USA)
Yonatan Bisk,Carnegie Mellon University (USA)
Dirk Hovy,Bocconi University (Italy)
Jinho Choi,Emory University (USA)
Zhongyu Wei,Fudan University (China)
Pedro Rodriguez,Meta (USA)
Martín Villalba,Bayer AG (Germany)
Jiacheng Xu,Salesforce (USA)
Devamanyu Hazarika,Amazon (USA)
Eva Vanmassenhove,Tilburg University (Netherlands)
Tong Xu,University of Science and Technology of China (China)
Lei Li,Univeristy of California Santa Barbara (USA)
Alla Rozovskaya,City University of New York (USA)
Daniel Beck,University of Melbourne (Australia)
Maryam Fazel-Zarandi,Meta (USA)
Nedjma Djouhra Ousidhoum,University of Cambridge (UK)
Bernardo Magnini,"FBK, Italy"
Smaranda Muresan,"Columbia University and Amazon AWS AI Labs, USA"
Preslav Nakov,"Qatar Computing Research Institute, HBKU, Qatar"
Aline Villavicencio,"University of Sheffield, UK"
John Kelleher,"TU Dublin, Ireland"
Andy Way,"Dublin City University, Ireland"
Elena Cabrio,"Université Côte d'Azur, France"
Sujian Li,"Pekin University, China"
Mausam,"IIT Delhi, India"
Luciana Benotti,"National University of Córdoba, Argentina"
Naoaki Okazaki,"Tokyo Institute of Technology, Japan"
Yves Scherrer,"University of Helsinki, Finland"
Marcos Zampieri,"Rochester Institute of Technology, USA"
Valerio Basile,"University of Turin, Italy"
Zornitsa Kozareva,"Facebook AI Research, USA"
Sanja Štajner,"Symanto Research, Germany"
Samuel Louvan,"FBK, Italy"
Andrea Madotto,"HKUST, Hong Kong (HKSAR)"
Brielen Madureira,"University of Potsdam, Germany"
Cecile Paris,"CSIRO, Australia"
Siva Reddy,"McGill University, Canada"
German Rigau,"Basque Country University, Spain"
Isabelle Augenstein,"University of Copenhagen, Denmark"
Emmanuele Chersoni,"The Hong Kong Polytechnic University, Hong Kong"
Diana Maynard,"University of Sheffield, UK"
Soujanya Poria,"Singapore University of Technology, Singapore"
Joel Tetreault,"Dataminr, USA"
Danilo Croce,"University of Rome Tor Vergata, Italy"
Jordan Zhang,Ryan Cotterell ETH Zürich
Marco Polignano,"University of Bari Aldo Moro, Italy"
Rodrigo Wilkens,"Université catholique de Louvain, Belgium"
Pierluigi Cassotti,"University of Bari Aldo Moro, Italy"
Mona Diab,"Facebook AI Research & GWU, USA"
Martha Yifiru Tachbelie,"Addis Abada University, Ethiopia"
Su Lin Blodgett,"Microsoft Research Montréal, Canada"
Christiane Fellbaum,"Princeton University, USA"
Filip Klubicka,"ADAPT Centre, Ireland"
Pintu Lohar,"ADAPT Centre, Ireland"
Vasudevan Nedumpozhimana,"ADAPT Centre, Ireland"
Guodong Xie,"ADAPT Centre, Ireland"
Marcely Boito Zanon,"University of Avignon, France"
Tim Baldwin,"MBZUAI and The University of Melbourne, Australia"
Kathleen McKeown,"Columbia University, USA, and Amazon AWS AI Labs"
David Chiang,"University of Notre Dame, USA"
Min-Yen Kan,"National University of Singapore, Singapore"
Taro Watanabe,"Nara Institute of Science and Technology, Japan"
Amanda Stent,"Colby College, USA"
Goran Glavaš,"University of Mannheim, USA"
Graham Neubig,"Carnegie Mellon University, USA"
Sara Goggi,"CNR-ILC, Italy"
Yoshitomo Matsubara,"UC Irvine, USA"
Sebastin Santy,"University of Washington, USA"
Nadia L’Bahy,OpenReview
Celeste Martinez Gomez,OpenReview
Melisa Bok,OpenReview
Sol Rosenberg,Underline
Jernej Masnec,Underline
Damira Mršic,Underline
Mateo Antonic,Underline
Luka Šimic,Underline
Priscilla Rasmussen,ACL Conference Registration
Nicole Ballard,YesEvents
Terah Shaffer,YesEvents
Greg Carew,Abbey
Fiona McGillivray,Abbey
Laird Smith,Abbey
Chengqing Zong,"Institute of Automation, Chinese Academy of Sciences"
Fei Xia,University of Washington
Wenjie Li,The Hong Kong Polytechnic University
Roberto Navigli,Sapienza University of Rome
Priscilla Rasmussen,Association for Computational Linguistics (ACL)
Thepchai Supnithi,"NECTEC, NSTDA, Thailand"
Thanaruk Theeramunkong,"The Artificial Intelligence Association of Thailand and Sirindhorn International Institute of Technology (SIIT), Thammasat University, Thailand"
Jing LI,"The Hong Kong Polytechnic University, Hong Kong, China"
Zhongyu Wei,"Fudan University, China"
Rachada Kongkrachantra,"Thammasat University, Thailand"
Kobkrit Viriyayudhakorn,"iApp Technology Co., Ltd., Thailand"
David Chiang,"University of Notre Dame, USA"
Min Zhang,"Soochow University, China"
Kentaro Inui,"Tohoku University, Japan"
Michael Strube,"GmbH Heidelberg, Germany"
Amandalynne Paullada,"University of Washington, USA"
Haitao Lin,"Institute of Automation, Chinese Academy of Sciences, China"
Jannis Vamvas,"Universitat Zurich, Switzerland"
Jad Kabbara,"McGill University and the Montreal Institute for Learning Algorithms (MILA), Canada"
Rico Sennrich,"University of Edinburgh, UK"
Nianwen Xue,"Brandeis University, USA"
Jing Jiang,"Singapore Management University, Singapore"
Derek F. Wong,"University of Macau, Macao, China"
Jong C. Park,"Korea Advanced Institute of Science and Technology, Korea"
Heng Ji,"University of Illinois at Urbana-Champaign, USA"
Rui Xia,"Nanjing University of Science and Technology, China"
Jing-Shin Chang,"National Chi Nan University, Taiwan"
Yuki Arase,"Associate Professor, Osaka University, Japan"
Yvette Graham,"Dublin City University, Ireland"
Kai-Fam Wong,"The Chinese University of Hong Kong, Hong Kong, China"
Krit Kosawat,"NECTEC, NSTDA, Thailand"
Suchathit Boonnag,"AIAT, Thailand"
Rachasak Somyanonthanakul,"Rangsit University, Thailand"
Minlie Huang,Leader of Sub-Committee of Childcare ++ Accessibility
Yang Feng,"Institute of Computing Technology, Chinese Academy of Science, China"
Vivian Chen,"National Taiwan University, China"
Avirup Sil,"IBM, USA, Leader of Sub-Committee of Academic Inclusion"
Sara Rosenthal,"IBM Research AI, USA"
Kayathi Chandu,"Carnegie Mellon University, USA"
Lifu Huang,"Virginia Tech, USA"
