A. Seza Doğruöz,[Ghent University]
Aakanksha Naik,[Carnegie Mellon University (CMU)]
Aasish Pappu,[Unknown]
Adam Trischler,[Unknown]
Adhi Kuncoro,[University of Oxford and DeepMind]
Adina Williams,[Facebook AI]
Advaith Siddarthan,[Unknown]
Advaith Siddharthan,"[The Open University (Senior Chair), Unknown]"
Afra Alishahi,"[Tilburg University, Unknown]"
Agata Savary,[University of Tours]
Ahmed Ali,[Qatar Computing Research Institute (QCRI)]
Ahmed Hassan Awadallah,[Microsoft Research]
Aida Nematzadeh,"[DeepMind, Unknown]"
Aitor Soroa,[Unknown]
Aixin Sun,[Unknown]
Ajay Nagesh,[DiDi Labs]
Alan Ritter,"[Georgia Institute of Technology (USA), Georgia Institute of Technology, Georgia Institute of Technology (Senior Chair), Unknown]"
Albert Gatt,"[Utrecht University, Unknown]"
Alberto Lavelli,[Bruno Kessler Foundation]
Alborz Geramifard,"[Facebook AI, Unknown]"
Aleksandr Drozd,[RIKEN Center for Computational Science]
Alessandro Lenci,[University of Pisa]
Alessandro Moschitti,"[Amazon Alexa, Unknown]"
Alessandro Raganato,"[University of Helsinki, Finland]"
Alexander Fraser,"[LMU Munich, Unknown]"
Alexander Rush,[Cornell University]
Alexandra Balahur,[Unknown]
Alexandra Birch,[University of Edinburgh (Senior Chair)]
Alexis Palmer,"[University of Colorado Boulder, University of North Texas]"
Aliaksei Severyn,[Unknown]
Alice Oh,[Unknown]
Aline Villavicencio,"[University of Sheffield, UK, Unknown]"
Alison Smith,[Dataminr]
Alla Rozovskaya,"[City University of New York (USA), Unknown]"
Allyson Ettinger,[University of Chicago]
Alon Talmor,"[Allen Institute for AI, Tel-Aviv University]"
Alvin Grissom,[Haverford College]
Amanda Stent,"[Colby College, USA, Unknown]"
Amandalynne Paullada,"[University of Washington, USA]"
Amir Globerson,[Unknown]
Ana Marasovic,[University of Utah]
Ananya Ganesh,[Educational Testing Service]
Anders Søgaard,"[University of Copenhagen, Unknown]"
Andre Martins,[Unknown]
Andrea Cimino,[Institute for Computational Linguistics of CNR (CNR-ILC)]
Andrea Madotto,"[HKUST, Hong Kong (HKSAR)]"
Andreas Rücklé,[Amazon]
Andreas Vlachos,[Unknown]
Andrei Popescu-Belis,[Unknown]
Andrew Kehler,[Unknown]
Andrew Schwartz,[Stony Brook University]
Andrew Yates,"[Max Planck Institute for Informatics (Senior Chair), Unknown]"
André Martins,"[Unbabel, Instituto de Telecomunicacoes]"
Andy MacKinlay,"[Culture Amp, Australia]"
Andy Way,"[Dublin City University, Ireland]"
Anette Frank,[Unknown]
Angela Fan,[Facebook AI Research]
Angeliki Lazaridou,"[DeepMind, USA, DeepMind (Senior Chair), Unknown]"
Anh Tuan Luu,[Unknown]
Animesh Mukherjee,"[Indian Institute of Technology, Kharagpur]"
Ankur Parikh,[Unknown]
Ann Clifton,[Unknown]
Anna Korhonen,[University of Cambridge]
Anna Rogers,"[IT University of Copenhagen (Denmark), University of Copenhagen, University of Copenhagen, Denmark]"
Annemarie Friedrich,"[Bosch Center for Artificial Intelligence (Senior Chair), Unknown]"
Annie Louis,"[Google (UK), Google, Unknown]"
Antoine Bosselut,"[Stanford University, USA, École Polytechnique Fédérale de Lausanne]"
Antoine Doucet,[University of La Rochelle]
Anton Leuski,[Unknown]
Antonios Anastopoulos,[George Mason University]
Anya Belz,"[ADAPT Research Centre, Dublin City University, Unknown]"
Aoife Cahill,[Dataminr]
Ariadna Quattoni,[Unknown]
Arianna Bisazza,[Unknown]
Ashique KhudaBukhsh,[Rochester Institute of Technology]
Ashish Vaswani,[Unknown]
Asli Celikyilmaz,"[Microsoft Research, Redmond, Facebook AI Research, Unknown]"
Asma Ben Abacha,[Unknown]
Aston Zhang,[AWS AI]
Aurelie Herbelot,[University of Trento]
Aurélie Névéol,[Unknown]
Avi Sil,[Unknown]
Avirup Sil,"[IBM, USA, Leader of Sub-Committee of Academic Inclusion]"
Ayah Zirikly,[Johns Hopkins University (USA)]
Baobao Chang,"[Institute of Computational Linguistic, Peking University]"
Barbara Plank,"[IT University of Copenhagen, Unknown]"
Barry Haddow,[Unknown]
Beata Beigman Klebanov,[Educational Testing Service (USA)]
Beata Megyesi,[Unknown]
Benamara Farah,[Unknown]
Benjamin van Durme,"[Johns Hopkins University, USA]"
Benoit Sagot,[INRIA]
Benoît Sagot,[Inria]
Bernardo Magnini,"[FBK, Italy, Bruno Kessler Foundation]"
Bernd Bohnet,[Google Research]
Beth Ann Hockey,[Unknown]
Bhaskar Mitra,[Microsoft Research]
Bhavana Dalvi,[Unknown]
Bhiksha Raj,[Carnegie Mellon University]
Bill Byrne,[Unknown]
Bing Liu,[Unknown]
Bing Qin,[Unknown]
Bonnie Webber,"[University of Edinburgh, UK, Unknown]"
Bowen Zhou,[Unknown]
Boxing Chen,"[Alibaba, Unknown]"
Bracha Shapira,[Unknown]
Brendan O'Connor,[Unknown]
Brendan O’Connor,[University of Massachusetts Amherst]
Brian Roark,[Google]
Brielen Madureira,"[University of Potsdam, Germany]"
Byron C. Wallace,[Unknown]
Byron Wallace,"[Northeastern University, Unknown]"
C. M. Downey,"[University of Washington, USA]"
Caiming Xiong,"[Salesforce, Unknown]"
Carl Vondrick,[Unknown]
Carolin Lawrence,[NEC Laboratories Europe]
Casey Kennington,"[Boise State University, Unknown]"
Caterina Lacerra,[Sapienza University of Rome]
Catharine Oertel,[Unknown]
Cecile Paris,"[CSIRO, Australia, Unknown]"
Cecilia Alm,[Rochester Institute of Technology]
Cecilia O. Alm,[Rochester Institute of Technology]
Cecilia Ovesdotter Alm,[Rochester Institute of Technology]
Celeste Martinez Gomez,[OpenReview]
Chenghua Lin,"[University of Sheffield (UK), Department of Computer Science, University of Sheffield, Unknown]"
Chengqing Zong,"[Institute of Automation, Chinese Academy of Sciences]"
Chenhao Tan,[Unknown]
Chin-Yew Lin,[Unknown]
Chris Biemann,[Unknown]
Chris Brew,[LivePerson]
Chris Dyer,[Unknown]
Chris Quirk,[Unknown]
Chris Reed,[Unknown]
Christian Hardmeier,"[IT University of Copenhagen, Unknown]"
Christiane Fellbaum,"[Princeton University, USA]"
Christophe Gravier,"[Universite de Saint-Etienne/Lyon, France]"
Christopher Potts,"[Stanford University (Chair), Unknown]"
Christos Christodoulopoulos,[Amazon Research]
Chrysoula Zerva,[Instituto de Telecomunicacoes-IST]
Chutima Beokhaimook,"[Rangsit University, Thailand]"
Cicero Nogueira dos Santos,[Unknown]
Claire Cardie,[Unknown]
Claire Gardent,[Unknown]
Claudia Borg,[University of Malta]
Claudia Soria,[CNR-ILC]
Colin Cherry,"[Google, Unknown]"
Colin Raffel,"[University of North Carolina, Chapel Hill, UNC Chapel Hill and Hugging Face, Unknown]"
Craig Macdonald,[Unknown]
Cristian Danescu-Niculescu-Mizil,[Unknown]
Cristina España i Bonet,[Deutsches Forschungszentrum für Künstliche Intelligenz]
Daisuke Kawahara,[Unknown]
Dallas Card,[Stanford University]
Damien Blasi,[Harvard University]
Damira Mršic,[Underline]
Dan Garrette,[Google Research]
Dan Goldwasser,[Unknown]
Dan Jurafsky,[Stanford University]
Dan Roth,"[University of Pennsylvania, Unknown]"
Dani Yogatama,[Unknown]
Daniel Beck,"[University of Melbourne (Australia), University of Melbourne]"
Daniel Cer,[Unknown]
Daniel Fried,[Facebook AI]
Daniel Gildea,[Unknown]
Daniel Khashabi,"[University of Pennsylvania, Unknown]"
Danilo Croce,"[University of Rome Tor Vergata, Italy]"
Danish Pruthi,"[Indian Institute of Science (IISc), Bangalore]"
Danqi Chen,"[Princeton University, Unknown]"
Danushka Bollegala,"[University of Liverpool (UK), Unknown]"
David Bamman,"[UC Berkeley, Unknown]"
David Chiang,"[University of Notre Dame, USA, Unknown]"
David Jurgens,"[University of Michigan, Unknown]"
David Mimno,"[Cornell University, Unknown]"
David Mortensen,[Unknown]
David Schlangen,"[University of Potsdam, Germany]"
David Traum,[University of South California]
David Vilar,[Unknown]
Dekai Wu,[Unknown]
Demond Elliott,[Unknown]
Derek F. Wong,"[University of Macau, Macao, China, Unknown]"
Derek Wong,[University of Macau]
Devamanyu Hazarika,[Amazon (USA)]
Deyi Xiong,"[Tianjin University, Unknown]"
Deyu Zhou,[Unknown]
Dian Yu,[Tencent AI Lab]
Diana Inkpen,[University of Ottawa (Senior Chair)]
Diana Maynard,"[University of Sheffield, UK]"
Diana McCarthy,[Unknown]
Diarmuid Ó Séaghdha,"[Apple, Unknown]"
Dieuwke Hupkes,[Facebook AI Research]
Dilek Hakkani-Tur,"[Amazon Alexa AI, Unknown]"
Dimitri Kartsaklis,[Unknown]
Dina Demner-Fushman,"[National Library of Medicine (Senior Chair), Unknown]"
Dirk Hovy,"[Bocconi University (Italy), Bocconi University, Bocconi University, Italy, Unknown]"
Diyi Yang,"[Stanford University, Georgia Institute of Technology, Unknown]"
Djame Seddah,[University Paris-Sorbonne]
Dominique Brunato,[Institute for Computational Linguistics of CNR (CNR-ILC)]
Don Metzler,[Google]
