Aaron Schulman,[UC San Diego]
Aaron Striegel,"[University of Notre Dame, USA]"
Abdallah Khreishah,"[New Jersey Institute of Technology, USA]"
Abderrahim Benslimane,"[Avignon University, France]"
Abhimanyu Gosain,"[Northeastern University, USA]"
Abusayeed Saifullah,"[Wayne State University, USA, Iowa State University]"
Aditya Akella,"[UT Austin and Google, UWM, University of Wisconsin–Madison]"
Adrian Perrig,[ETH Zurich]
Ahmed Elmokashfi,"[Amazon, USA, Simula Metropolitan Center for Digital Engineering (SimulaMet), Norway]"
Ahmed Helmy,"[University of Florida, USA]"
Ahmed Kamal,"[Iowa State University, USA]"
Ahmed Saeed,[Georgia Institute of Technology]
Ai-Chun Pang,"[National Taiwan University, Taiwan]"
Alan Zaoxing Liu,[Boston University]
Albert Banchs,"[Universidad Carlos III de Madrid, Spain, Universidad Carlos III de Madrid and IMDEA Networks Institute, Spain]"
Albert Cabellos-Aparicio,"[Universitat Politècnica de Catalunya, Spain]"
Alessandra Sala,"[Bell Labs, Alcatel-Lucent, Ireland]"
Alessandro Mei,"[Sapienza University of Rome, Italy]"
Alessandro Redondi,"[Politecnico di Milano, Italy]"
Alex Afanasyev,[Florida International University]
Alex C. Snoeren,"[UC San Diego / Google, UC San Diego]"
Alexander Min,"[Intel Corporation, USA]"
Alexandre Guitton,"[Clermont University, USA]"
Alfred Chen,"[University of California, Irvine, USA]"
Ali Abedi,"[University of Maine, USA]"
Ali Khayam,[Amazon]
Alok Tongaonkar,"[RedLock, USA]"
Aman Shaikh,[Google]
Amar Phanishayee,[Microsoft Research]
Ambuj Varshney,"[National University of Singapore, Singapore, University of California, Berkeley]"
Amin Vahdat,[Google]
Amit Sheoran,"[AT&T Research, USA]"
Amr Rizk,"[University of Duisburg-Essen, Germany, Universitat Ulm, Germany, Technische Universität Darmstadt, Germany]"
Ana Aguiar,"[University of Porto, Portugal]"
Anand Seetharam,"[SUNY Binghamton, USA]"
Anastasios Giovanidis,"[Sorbonne Université, France]"
Anat Bremler-Barr,"[Interdisciplinary Center Herzliya, Israel]"
Andra Lutu,"[Telefónica Research, Spain]"
Andrea Detti,"[University of Rome 'Tor Vergata', Italy, University of Rome Tor Vergata, Italy, University of Rome ""Tor Vergata"", Italy]"
Andrea Passarella,"[IIT-CNR, Italy]"
Andreas Haeberlen,[University of Pennsylvania]
Andrzej Duda,"[Grenoble Institute of Technology, France]"
Ang Chen,[Rice University]
Anirudh Sivaraman,[NYU]
Anja Feldmann,"[MPI, Max Planck Institute, TU Berlin, Germany]"
Ankit Singla,"[ETHZ, ETH Zürich]"
Anna Brunstrom,[Karlstad University]
Anna Maria Mandalari,[University College London]
Anna Maria Vegni,"[Roma Tre University, Italy]"
Antonio Capone,"[Politecnico di Milano, Italy]"
Antonio Fernández Anta,"[IMDEA Networks Institute, Spain]"
Antonio Rocha,"[Fluminense Federal University, Brazil]"
Antonios Argyriou,"[University of Thessaly, Greece]"
Aradhana Narula-Tam,"[MIT Lincoln Laboratory, USA]"
Arash Asadi,"[TU Darmstadt, Germany]"
Arpit Gupta,"[UCSB, UC Santa Barbara]"
Artur Hecker,"[Huawei, Germany, Huawei, Munich Research Center, Germany]"
Arturo Azcorra,"[University Carlos III of Madrid, Spain]"
Arun Venkataramani,"[UMass Amherst, USA]"
Aruna Balasubramanian,"[Stony Brook, Stony Brook University]"
Athina Markopoulou,"[University of California, USA, University of California, Irvine, USA]"
Aurojit Panda,"[NYU, New York University]"
Aziz Mohaisen,"[University of Central Florida, USA]"
Azza Ahmed,[Simula Metropolitan Centre for Digital Engineering]
Baek-Young Choi,"[University of Missouri - Kansas City, USA, University of Missouri-Kansas City, USA]"
Balajee Vamanan,"[University of Illinois at Chicago, USA]"
Balázs Vass,"[Budapest University of Technology and Economics, Hungary]"
