name,affiliation
Roxana Geambasu,Columbia University
Ed Nightingale,Apple
Atul Adya,Databricks
Rachit Agarwal,Cornell University
Nitin Agrawal,Google
Ramnatthan Alagappan,University of Illinois at Urbana–Champaign
Jeremy Andrus,Apple
Sebastian Angel,University of Pennsylvania
Mahesh Balakrishnan,Confluent
Adam Belay,MIT CSAIL
Emery Berger,University of Massachusetts Amherst
Edouard Bugnion,EPFL
George Candea,EPFL
Kang Chen,Tsinghua University
Vijay Chidambaram,The University of Texas at Austin and VMware Research
Mosharaf Chowdhury,University of Michigan
Byung-Gon Chun,Seoul National University and FriendliAI
Asaf Cidon,Columbia University
Manuel Costa,Microsoft Research
Landon Cox,Microsoft Research
Natacha Crooks,"University of California, Berkeley"
Jon Crowcroft,University of Cambridge
Heming Cui,University of Hong Kong
Dilma Da Silva,Texas A&M University
Murat Demirbas,Amazon Web Services
Ittay Eyal,Technion—Israel Institute of Technology
Jason Flinn,Meta
Bryan Ford,EPFL
Aishwarya Ganesan,University of Illinois at Urbana-Champaign and VMware Research
Phillip Gibbons,Carnegie Mellon University
Yossi Gilad,Hebrew University of Jerusalem
Joseph Gonzalez,"University of California, Berkeley"
Andreas Haeberlen,University of Pennsylvania and Roblox
Steven Hand,Google
Tim Harris,Microsoft
Wenjun Hu,Yale University
Ryan Huang,Johns Hopkins University
Rüdiger Kapitza,Friedrich-Alexander-Universität Erlangen-Nürnberg
Brad Karp,University College London
Baris Kasikci,University of Michigan
Eddie Kohler,Harvard University
Mathias Lécuyer,University of British Columbia
Philip Levis,Google and Stanford University
Amit Levy,Princeton University
Jinyang Li,New York University
Hyeontaek Lim,Google
Wyatt Lloyd,Princeton University
Jay Lorch,Microsoft Research
Shan Lu,University of Chicago
Martin Maas,Google
Jonathan Mace,Max Planck Institute for Software Systems (MPI-SWS)
Ratul Mahajan,University of Washington and Intentionet
Z. Morley Mao,University of Michigan and Google
James Mickens,Harvard University
Thomas Moscibroda,Microsoft
Deepak Narayanan,Microsoft Research
Ravi Netravali,Princeton University
Jason Nieh,Columbia University
Cristina Nita-Rotaru,Northeastern University
Shadi Noghabi,Microsoft Research
Aurojit Panda,New York University
KyoungSoo Park,Korea Advanced Institute of Science and Technology (KAIST)
Bryan Parno,Carnegie Mellon University
Daniel Peek,Meta
Peter Pietzuch,Imperial College London
Dan Ports,Microsoft Research
Costin Raiciu,University Politehnica of Bucharest
David Richardson,Apple
Luis Rodrigues,"INESC-ID and Instituto Superior Técnico, University of Lisbon"
Christopher Rossbach,The University of Texas at Austin and Katana Graph
Malte Schwarzkopf,Brown University
Marco Serafini,University of Massachusetts Amherst
Marc Shapiro,Sorbonne-Université–LIP6 and Inria
Ji-Yong Shin,Northeastern University
Marcos K. Aguilera,VMware Research
Hakim Weatherspoon,"Cornell University and Exotanium, Inc."
Atul Adya,Databricks
Nitin Agrawal,ThoughtSpot
Deniz Altinbüken,Google
Behnaz Arzani,Microsoft Research
Mahesh Balakrishnan,Facebook
Oana Balmau,McGill University
Andrew Baumann,Microsoft Research
Adam Belay,MIT CSAIL
Ranjita Bhagwan,Microsoft Research
Annette Bieniusa,Technische Universität Kaiserslautern
Ken Birman,Cornell University
Rodrigo Bruno,"INESC-ID and Instituto Superior Técnico, University of Lisbon"
Irina Calciu,Graft
George Candea,EPFL
Marco Canini,KAUST
Miguel Castro,Microsoft
Rong Chen,Shanghai Jiao Tong University
Byung-Gon Chun,Seoul National University and FriendliAI
Asaf Cidon,Columbia University
Landon Cox,Microsoft Research
Natacha Crooks,"University of California, Berkeley"
Murat Demirbas,Amazon Web Services
Yufei Ding,"University of California, Santa Barbara"
Roxana Geambasu,Columbia University
Ashvin Goel,University of Toronto
