Ada Gavrilovska,[Georgia Institute of Technology]
Adam Belay,"[MIT CSAIL, Massachusetts Institute of Technology, MIT]"
Adam Chlipala,[MIT]
Adriana Szekeres,[VMware Research]
Aishwarya Ganesan,[University of Illinois at Urbana-Champaign and VMware Research]
Akshitha Sriraman,[Carnegie Mellon University and Google]
Alex C. Snoeren,"[University of California, San Diego]"
Alexandra Fedorova,[University of British Columbia]
Alexey Tumanov,[Georgia Institute of Technology]
Allen Clement,[nan]
Amar Phanishayee,[Microsoft Research]
Amin Vahdat,"[Google, Google and University of California, San Diego, Google, UCSD]"
Amit Levy,[Princeton University]
Amy Ousterhout,"[University of California, Berkeley]"
Amy Tai,[VMware Research]
Ana Klimovic,"[ETH Zurich, Google Research and ETH Zurich]"
Andrea Arpaci-Dusseau,[University of Wisconsin—Madison]
Andreas Haeberlen,"[University of Pennsylvania and Roblox, University of Pennsylvania]"
Andrew Baumann,[Microsoft Research]
Andrew Quinn,"[University of California, Santa Cruz]"
Andrew Warfield,[Amazon]
Angela Demke Brown,"[University of Toronto, Toronto]"
Anja Feldmann,[Max Planck Institute for Informatics (MPI-INF)]
Anne-Marie Kermarrec,[EPFL]
Annette Bieniusa,[Technische Universität Kaiserslautern]
Anthony D. Joseph,"[University of California, Berkeley]"
Antoine Kaufmann,[Max Planck Institute for Software Systems (MPI-SWS)]
Arvind Krishnamurthy,[University of Washington]
Asaf Cidon,[Columbia University]
Ashvin Goel,[University of Toronto]
Atul Adya,"[Databricks, Google]"
Aurojit Panda,"[New York University, NYU]"
Baris Kasikci,"[University of Michigan, University of Michigan and Google, Michigan]"
Behnaz Arzani,[Microsoft Research]
Bernard Wong,[University of Waterloo]
Brad Chen,[Google]
Brad Karp,[University College London]
Brian Levine,[University of Massachusetts Amherst]
Brian Noble,[University of Michigan]
Bryan Ford,[EPFL]
Bryan Parno,[Carnegie Mellon University]
Byung-Gon Chun,"[Seoul National University and FriendliAI, Seoul National University]"
Carey Williamson,[University of Calgary]
Carlos Maltzahn,[UCSC]
Casey Henderson,[USENIX Association]
Ce Zhang,[ETH Zurich]
Changwoo Min,[Virginia Tech]
Cheng Li,"[USTC, China]"
Chris Hawblitzel,"[Microsoft Research, Microsoft Research Redmond]"
Chris Rossbach,"[UT Austin and VMware Research, Texas]"
Christoforos Kozyrakis,[Stanford University]
Christopher Rossbach,[The University of Texas at Austin and Katana Graph]
Christos Kozyrakis,[Stanford University]
Chuanxiong Guo,[ByteDance]
Costin Raiciu,[University Politehnica of Bucharest]
Cristiano Giuffrida,[Vrije Universiteit Amsterdam]
Cristina Nita-Rotaru,[Northeastern University]
Dan Ports,[Microsoft Research]
Dan Tsafrir,"[Technion—Israel Institute of Technology and VMware Research, VMware Research and Technion—Israel Institute of Technology]"
Daniel Peek,[Meta]
David Andersen,[CMU]
David Richardson,[Apple]
Deepak Narayanan,[Microsoft Research]
Deian Stefan,[UCSD]
Dejan Kostic,[KTH Royal Institute of Technology]
Dejan Kostić,[KTH Royal Institute of Technology]
Deniz Altinbüken,[Google]
Derek Murray,[Google]
Dilma Da Silva,[Texas A&M University]
Dimitrios Skarlatos,[Carnegie Mellon University]
Ding Yuan,"[University of Toronto, University of Toronto and YScope]"
Don Porter,"[The University of North Carolina at Chapel Hill, Univ. of North Carolina-Chapel Hill, UNC]"
Dongyoon Lee,[Stony Brook University]
Doug Terry,"[Amazon Web Services, Amazon]"
Dushyanth Narayanan,"[Microsoft Research, Microsoft Research Cambridge]"
Ed Nightingale,[Apple]
Eddie Kohler,"[Harvard University, Harvard]"
Edouard Bugnion,"[EPFL, École Polytechnique Fédérale de Lausanne (EPFL)]"
Eiko Yoneki,[University of Cambridge]
Emery Berger,"[University of Massachusetts Amherst, UMass Amherst]"
Emmett Witchel,"[The University of Texas at Austin, UT Austin and Katana Graph, Texas]"
Fernando Pedone,[University of Lugano]
Frank Bellosa,[Karlsruhe Institute of Technology]
Frans Kaashoek,[Massachusetts Institute of Technology]
Gala Yadgar,"[Technion—Israel Institute of Technology, Technion - Israel Institute of Technology]"
Garth A. Gibson,"[Vector Institute, Carnegie Mellon University, and University of Toronto]"
Gennady Pekhimenko,[University of Toronto and Vector Institute]
Geoff Voelker,"[University of California, San Diego]"
George Candea,[EPFL]
Gerd Zellweger,[VMware Research]
Gernot Heiser,"[University of New South Wales and CSIRO’s Data61, UNSW Sydney, UNSW / NICTA, UNSW, Australia]"
Gilles Muller,"[Inria, INRIA, INRIA, France]"
Haibo Chen,"[Shanghai Jiao Tong University, SJTU, China]"
Haifeng Yu,[National University of Singapore]
Hakim Weatherspoon,"[Cornell University and Exotanium, Inc., Cornell University]"
Hank Levy,[University of Washington]
Harry Xu,"[University of California, Los Angeles]"
Harsha V. Madhyastha,[University of Michigan]
Haryadi Gunawi,"[University of Chicago, Chicago]"
Haryadi S. Gunawi,[University of Chicago]
Heming Cui,[University of Hong Kong]
Hermann Haertig,[TU Dresden]
Hongyi Wang,[CMU]
Hyeontaek Lim,[Google]
Indranil Gupta,[University of Illinois at Urbana–Champaign]
Ion Stoica,[UC Berkeley]
Irene Zhang,"[Microsoft Research, Microsoft Research Redmond, Microsoft]"
Irina Calciu,"[Graft, VMware Research]"
Ittay Eyal,"[Technion—Israel Institute of Technology, Technion]"
James Bornholt,[The University of Texas at Austin]
James Mickens,"[Harvard University, Harvard]"
Jason Flinn,"[Meta, Facebook, University of Michigan]"
Jason Nieh,[Columbia University]
Jay Lorch,[Microsoft Research]
Jeff Mogul,[Google]
Jeremy Andrus,[Apple]
Ji-Yong Shin,[Northeastern University]
Jialin Li,"[National University of Singapore, National University of Singapore (NUS)]"
Jinyang Li,"[New York University, NYU]"
Joe Izraelevitz,"[University of Colorado, Boulder]"
Joey Gonzalez,[UC Berkeley]
John Wilkes,[Google]
Jon Crowcroft,[University of Cambridge]
Jon Howell,[VMware Research]
Jonathan Mace,"[Max Planck Institute for Software Systems (MPI-SWS), Max Planck Institute for Software Systems (MPI-SWS) and Microsoft Research]"
Joseph Gonzalez,"[University of California, Berkeley]"
Julia Lawall,[Inria/LIP6]
Junfeng Yang,"[Columbia University, Columbia]"
Justine Sherry,"[Carnegie Mellon University, CMU]"
Kai Shen,[Google]
Kang Chen,[Tsinghua University]
Kathryn S McKinley,[Google]
Kathryn S. McKinley,[Google]
Kaushik Veeraraghavan,[Facebook]
Kay Ousterhout,[Lightstep]
Keith Smith,[NetApp]
Ken Birman,[Cornell University]
Keval Vora,[Simon Fraser University]
Kevin Kornegay,[Morgan State University]
Kimberly Keeton,"[nan, Hewlett Packard Labs, Google]"
Kiran-Kumar Muniswamy-Reddy,[Amazon]
Kostas Magoutis,[University of Crete and FORTH-ICS]
KyoungSoo Park,"[Korea Advanced Institute of Science and Technology (KAIST), KAIST, KAIST, Korea]"
Lalith Suresh,[VMware Research]
Landon Cox,"[Microsoft Research, Duke University]"
Lanjun Wang,[Tianjin University]
Leonid Ryzhyk,[VMware]
Lidong Zhou,"[Microsoft Research, Microsoft Research Asia]"
Lin Zhong,[Yale University]
