name,affiliation
Alex Zelinsky,"Department of Defence, Australia"
Frank Park,"Seoul National University, South Korea"
Peter Corke,"Queensland University of Technology, Australia"
Nancy M Amato,"Texas A&M University, USA"
Megan Emmons,"Colorado State University, USA"
Yoshihiko Nakamura,"University of Tokyo, Japan"
Markus Vincze,"Vienna University of Technology, Austria"
Greg Hager,"John Hopkins University, USA"
Sandra Hirche,"The Technical University of Munich, Germany"
Daniela Rus,"Massachusetts Institute of Technology, USA"
Gregory Dudek,"McGill University, Canada"
Richard Vaughan,"Simon Fraser University, Canada"
Michael Wang,"Hong Kong University of Science and Technology, Hong Kong"
Lynne Parker,"University of Tennessee, USA"
Ayanna Howard,"Georgia Institute of Technology, USA"
Torsten Kroger,"Karlsruhe Institute of Technology, Germany"
Kevin Lynch,"Northwestern University, USA"
Kevin Lynch,"Northwestern University, USA"
Greg Hager,"John Hopkins University, USA"
Nancy M. Amato,"Texas A&M University, USA"
Denny Oetomo,"University of Melbourne, Australia"
Hanna Kurniawati,"University of Queensland, Australia"
Emma Pasula,"IEEE Meetings, Conferences and Events (MCE), USA"
Salah Sukarieh,"University of Sydney, Australia"
Erwin Prassler,"H-BRS, Germany"
Saeid Nahavandi,"Deakin University, Australia"
Tamas Haidegger,"Obuda University, Hungary"
Rodney Roberts,"Florida State University, USA"
Yanliang Zhang,"Xbot Park, China"
Torsten Kroger,"Karlsruhe Institute of Technology, Germany"
Tamim Asfour,"Karlsruhe Institute of Technology, Germany"
Bruno Siciliano,"University of Naples Federico II, Italy"
Dana Kulic,"University of Waterloo, Canada"
Robert Mahony,"Australian National University, Australia"
Jessica Hodgins,"Carnegie-Mellon University, USA"
Raj Madhavan,"Humanitarian Robotics Technology, USA"
Daniel Asmar,"American University of Beirut, Lebanon"
Damien Kee,"Domabotics, Australia"
Ami Pasricha,"Robogals Global, Australia"
Henrik Christenson,"UC San Diego, USA"
Stefano Stramagioli,"University of Twente, Netherlands"
Roland Siegwart,"ETH Zurich, Switzerland"
Andra Keay,"Silicon Valley Robotics, USA"
Ivan Storr,"Blue Ocean Robotics, Australia"
Damith Herath,"University of Canberra, Australia"
Elizabeth Jochum,"Aalborg University, Denmark"
Ken Goldberg,"University of California Berkeley, USA"
Nikos Papanikolopoulos,"University of Minnesota, USA"
Luis Mejias,"Queensland University of Technology, Australia"
Jennifer Palmer,"Defence Science & Technology Group, Australia"
Srikanth Saripalli,"Texas A&M University, USA"
Gamini Dissanayake,"University of Technology Sydney, Australia"
Jaime Valls Miro,"University of Technology Sydney, Australia"
Takamitsu Matsubara,"NAIST, Japan"
Michael Brunig,"University of Queensland, Australia"
Stefan Williams,"University of Sydney, Australia"
Robert Fitch,"University of Technology Sydney, Australia"
Jonathan Roberts,"Queensland University of Technology, Australia"
Nina Robson,"CSU Fullerton, USA"
Jonathan Kelly,"University of Toronoto, Canada"
Matthew Walter,"Toyota Technological Institute - Chicago, USA"
Henny Admoni,"Carnegie Mellon University, USA"
Navinda Kottege,"CSIRO, Australia"
Thierry Peynot,"Queensland University of Technology, Australia"
Paul Pounds,"University of Queensland, Australia"
Michael Boyle,"Queensland University of Technology, Australia"
Gregory Dudek,"General Chair, Samsung Electronics and McGill University (on leave), Canada"
Jaydev P. Desai,"Program Chair, Georgia Institute of Technology, USA"
Ayanna Howard,"ICRA Editor-in-Chief, Georgia Institute of Technology, USA"
Allison Okamura,"RA-L Editor-in-Chief, Stanford University, USA"
Venkat N. Krovi,"Finance Chair, Clemson University, USA"
U-Xuan Tan,"Website Chair, Singapore University of Technology and Design, Singapore"
Erwin Prassler,"Sponsorships Chair, Hochschule Bonn-Rhein-Sieg, Germany"
Dave Meger,"Local Arrangements Chair, McGill University, Canada"
Jozsef Kovecses,"Local Arrangements - Co-Chair, McGill University, Canada"
Jorge Angeles,"Local Arrangements Committee, McGill University, Canada"
David St-Onge,"Robotic Art Program Chair, École Polytechnique de Montréal, Canada"
Jean-Paul Laumond,"Robotic Art Program Co-chair, CNRS, France"
Damith Herath,"Robotic Art Program Co-chair, University of Canberra, Australia"
Dominik Bösl,"IAB 2017, Kuka, Germany"
Toshio Fukuda,"Industry Forum Chair, Nagoya University, Japan"
Giovanni Beltrame,"Government Forum Chair, École Polytechnique de Montréal, Canada"
Ken Goldberg,"Publicity Chair, University of California, Berkeley, USA"
Michael Jenkin,"Publicity co-chair, York University, Canada"
Jonathan Kelly,"Talent Recruitment Chair, University of Toronto, Canada"
Clément Gosselin,"Media Relations, FR, Université Laval, Canada"
Yogesh Girdhar,"Social Media Co-Chair, Woods Hole Oceanographic Institution, USA"
Malika Meghjani,"Social Media Co-Chair, Singapore-MIT Alliance for Research and Technology, USA"
Junaed Sattar,"Registration Chair, University of Minnesota, USA"
Pietro Valdastri,"Publications Chair, University of Leeds, United Kingdom"
Elena De Momi,"Publications Co-Chair, Politecnico di Milano, Italy"
Jing Xiao,"Workshop and Tutorials Chair, Worcester Polytechnic Institute, USA"
M. Ani Hsieh,"Workshop and Tutorials Co-Chair, University of Pennsylvania, USA"
Oliver Brock,"Awards Chair, Technical University of Berlin, Germany"
Vijay Kumar,"Awards Co-Chair, University of Pennsylvania, USA"
Michael Wang,"Awards Committee, Hong Kong University of Science and Technology, Hong Kong"
Elizabeth Croft,"Video Sessions Chair, University of British Columbia, Canada"
Ioannis Rekleitis,"Video Sessions Co-Chair, University of South Carolina, USA"
Hong Zhang,"Travel Awards Chair, University of Alberta, Canada"
Sarthak Misra,"Travel Awards Co-Chair, University of Twente, Netherlands"
Sunil Agrawal,"Supporting Cast, Columbia University, USA"
Fumihito Arai,"Supporting Cast, Nagoya University, Japan"
Wolfram Burgard,"Supporting Cast, Toyota Research Institute & University of Freiburg, Germany"
Darwin Caldwell,"Supporting Cast, Istituto Italiano di Tecnologia, Italy"
