AJung Moon,"[Publicity Committee Co-Chair, McGill University, Canada]"
Aaron Dollar,[nan]
Adam Stokes,"[Professor, Senior Programme Committee / Government Forum Co-Chair]"
Adrien Lemaire,[Social Media & Community Chair]
Aisha Walcott-Bryant,"[Program Co-Chair, IBM Research Africa, Kenya]"
Alan Winfield,[Ethics Chair]
Alex Zelinsky,"[Department of Defence, Australia]"
Alicia Casals,"[Supporting Cast, Technical University of Catalonia, USA]"
Allison Okamura,"[RA-L Editor-in-Chief, Stanford University, USA, nan]"
Ami Pasricha,"[Robogals Global, Australia]"
Andra Keay,"[Silicon Valley Robotics, USA, Accessibility Committee Member, Silicon Valley Robotics, USA]"
Ani_Majumdar,"[Local Arrangements Co-chair, Princeton University, USA]"
Antoine Ferreira,"[Supporting Cast, Institut National des Sciences Appliquées, France]"
Antonia Tzemanaki,[nan]
Antonio Bicchi,[Award Chair]
Arianna Menciassi,[Programme Co-Chair]
Aude Billard,[Outreach Chair]
Ayanna Howard,"[Georgia Institute of Technology, USA, ICRA Editor-in-Chief, Georgia Institute of Technology, USA, CEB Editor-in-Chief]"
Barthélémy Cagneau,[H2020 Chair]
Bradley Nelson,"[Supporting Cast, ETH Zürich, Switzerland]"
Brenna Argall,"[Senior Program Committee Member, Northwestern University, USA, nan]"
Brittany Duncan,"[Senior Program Committee Member, University of Nebraska-Lincoln, USA]"
Bruno Lara,[Sponsorship & Exhibition Co-Chair (Americas)]
Bruno Siciliano,"[University of Naples Federico II, Italy, Awards Co-Chair]"
Bryan Low,"[Senior Program Committee Member, National University of Singapore, Singapore]"
Carme Torras,"[Workshops & Tutorials Chair, Ethics Co-Chair]"
Christian Duriez,[Social Media & Community Chair]
Christian Laugier,[Advising Committee Member]
Christine Chevallereau,[Local Arrangement Chair]
Christos Bergeles,[nan]
Clément Gosselin,"[Media Relations, FR, Université Laval, Canada]"
Cyrill Stachniss,"[Senior Program Committee Member, University of Bonn, Germany]"
Damien Kee,"[Domabotics, Australia]"
Damith Herath,"[University of Canberra, Australia, Robotic Art Program Co-chair, University of Canberra, Australia]"
Dan Stoyanov,[nan]
Dana Kulic,"[University of Waterloo, Canada]"
Daniel Asmar,"[American University of Beirut, Lebanon]"
Daniel_Jacobs,"[Local Arrangements Co-Chair, Temple University, USA]"
Daniela Rus,"[Massachusetts Institute of Technology, USA, Award Co-Chair]"
Darwin Caldwell,"[Supporting Cast, Istituto Italiano di Tecnologia, Italy, nan]"
Dave Cappelleri,"[Senior Program Committee Member, Purdue University, USA]"
Dave Meger,"[Local Arrangements Chair, McGill University, Canada]"
David Gueorguiev,[Talent Recruitment Chair]
David Heriban,[Industry Forum Chair]
David Hsu,"[Senior Program Committee Member, National University of Singapore, Singapore]"
David Lane,"[Professor, Government Forum Chair]"
David St-Onge,"[Robotic Art Program Chair, École Polytechnique de Montréal, Canada]"
Denny Oetomo,"[University of Melbourne, Australia]"
Dimitrios Kanoulas,[Sponsorship & Exhibition Co-Chair (UCL)]
Dominik Bösl,"[IAB 2017, Kuka, Germany]"
Dylan Shell,"[Senior Program Committee Member, Texas A&M University, USA]"
Eduardo Bayro-Corrochano,[nan]
Elena De Momi,"[Publications Co-Chair, Politecnico di Milano, Italy]"
Elena de Momi,[nan]
Elizabeth Croft,"[Video Sessions Chair, University of British Columbia, Canada]"
Elizabeth Jochum,"[Aalborg University, Denmark]"
Emma Pasula,"[IEEE Meetings, Conferences and Events (MCE), USA]"
Erwin Prassler,"[H-BRS, Germany, Sponsorships Chair, Hochschule Bonn-Rhein-Sieg, Germany]"
Etienne Burdet,[Publication Chair]
Eugenio Guglielmelli,"[Supporting Cast, Università Campus Bio-Medico, Italy]"
Ferdinando Rodriguez Y Baena,[Programme Co-Chair]
Frank Dellaert,"[Senior Program Committee Member, Georgia Institute of Technology, USA]"
Frank Park,"[Seoul National University, South Korea]"
François Chaumette,[Program Co-Chair]
François Goulette,[Industry Chair]
Fuhimito Arai,[Program Co-Chair]
Fumihito Arai,"[Supporting Cast, Nagoya University, Japan]"
Gamini Dissanayake,"[University of Technology Sydney, Australia]"
Gastone Ciuti,[nan]
Gaurav S. Sukhatme,"[Supporting Cast, University of Southern California, USA]"
George Pappas,"[General Co-Chair, University of Pennsylvania, USA]"
Giovanni Beltrame,"[Government Forum Chair, École Polytechnique de Montréal, Canada]"
Greg Hager,"[John Hopkins University, USA]"
Gregory Dudek,"[McGill University, Canada, General Chair, Samsung Electronics and McGill University (on leave), Canada, nan]"
Guang-Zhong Yang,[General Co-Chair]
Guillaume Morel,[Student Volunteer Chair]
Guy Hoffman,"[Senior Program Committee Member, Cornell University, USA]"
Hadas Kress-Gazit,"[Program Chair, Cornell University, USA]"
Hanna Kurniawati,"[University of Queensland, Australia, Program Co-Chair, Australian National University, Australia]"
Hareesh Godaba,[nan]
Harold Soh,"[Video Chair, National University of Singapore, Singapore]"
Helge Wurdemann,[General Co-Chair]
Henny Admoni,"[Carnegie Mellon University, USA]"
Henrik Christensen,"[Forum Committee Chair, University of California San Diego, USA]"
Henrik Christenson,"[UC San Diego, USA]"
Hong Qiao,"[Forum Committee Co-Chair, University of Chinese Academy of Sciences, China]"
Hong Zhang,"[Travel Awards Chair, University of Alberta, Canada]"
Hongdon Li,"[Senior Program Committee Member, Australian National University, Australia]"
Ildar Farkhatdinov,[nan]
Ingmar Posner,[nan]
