name,affiliation
Hsin-Hsi Chen,National Taiwan University
Wei-Jou (Edward) Duh,National Taiwan University
Hen-Hsen Huang,Academia Sinica
Makoto P. Kato,University of Tsukuba
Josiane Mothe,Université de Toulouse
Barbara Poblete,University of Chile and Amazon Visiting Academic
Xiangnan He,University of Science and Technology of China
Julian Urbano,Delft University of Technology
Grace Hui Yang,Georgetown University
Yaregal Assabie,Addis Ababa University
Ellen M. Voorhees,National Institute of Standards and Technology
Ricardo Baeza-Yates,Northeastern University
Chua Tat Seng,National University of Singapore
Jiafeng Guo,University of Chinese Academy of Sciences
Gabriella Pasi,University of Milano-Bicocca
Radu Ionescu,University of Bucharest
Paul Thomas,Microsoft Corporation
Altigran Soares da Silva,Universidade Federal do Amazonas
Ruihua Song,Renmin University of China
Debasis Ganguly,University of Glasgow
Sole Pera,Delft University of Technology
Liana Ermakova,Université de Bretagne Occidentale
Maura R. Grossman,University of Waterloo
Tracy Holloway King,Adobe Inc.
Zhao-Yan Ming,Hangzhou City University
Emine Yilmaz,UCL & Amazon
Kuan-Yu Chen,National Taiwan University of Science and Technology
Pu-Jen Cheng,National Taiwan University
Yung-Chun Chang,Taipei Medical University
Maria Gäde,Humboldt-Universität zu Berlin
Dan Li,Elesvier
Ming-Feng Tsai,National Chengchi University
Lun-Wei Ku,Academia Sinica
Hussein Suleman,University of Cape Town
Suzan Verberne,University Leiden
Mark Sanderson,RMIT University
Bracha Shapira,Ben Gurion University of the Negev
Cheng-Te Li,National Cheng Kung University
Lung-Hao Lee,National Central University
Chung Chi Chen,"National Institute of Advanced Industrial Science and Technology, Japan"
An-Zi Yen,National Yang Ming Chiao Tung University
Fernando Diaz,Google
Chirag Shah,University of Washington
Torsten Suel,New York University
Pablo Castells,Universidad Autónoma de Madrid
Rosie Jones,Spotify
Tetsuya Sakai,Waseda University
Hui Fang,University of Delaware
Claudia Hauff,Technische Universiteit Delft
Ruihua Song,Renmin University of China
Fernando Diaz,Google
Chirag Shah,University of Washington
Yiqun Liu,Tsinghua University
Ian Soboroff,National Institute of Standards and Technology
Miguel Martínez,Signal AI
Milad Shokouhi,Microsoft
Sengor Altingovde,Middle East Technical University
Rodrygo Santos,Universidade Federal de Minas Gerais
Hiroaki Ohshima,University of Hyogo
Barbara Poblete,University of Chile
Abdigani Dirye,Unknown
Jiafeng Guo,Chinese Academy of Sciences
Hema Raghavan,LinkedIn
Rishabh Mehrotra,Spotify
Karthik Subbian,Amazon
Alejandro Bellogín,Universidad Autónoma de Madrid
Masaharu Yoshioka,Hokkaido University
Jiqun Liu,University of Oklahoma
Bhaskar Mitra,Microsoft
Jian-Yun Nie,Université de Montréal
Barbara Poblete,University of Chile
Hussein Suleman,University of Cape Town
Suzan Verberne,Universiteit Leiden
Bhaskar Mitra,Microsoft
Charlie Clarke,University of Waterloo
Zhaochun Ren,Shandong University
Alistair Moffat,The University of Melbourne
Emine Yilmaz,"University College London, Amazon"
Johanne Trippas,The University of Melbourne
Matthew Mitsui,VidIQ
Panagiotis Adamopoulos,Emory University – USA
Qingyao Ai,University of Massachusetts Amherst – USA
Wei Ai,University of Michigan – USA
Mohammad Akbari,University College London – Singapore
Ahmet Aker,University of Duisburg-Essen – Germany
Elif Aktolga,Apple – USA
