name,affiliation
Arie van Deursen,"Delft University of Technology, Netherlands"
Tao Xie,Peking University
Eric Bodden,"Heinz Nixdorf Institut, Paderborn University and Fraunhofer IEM"
Daniela Damian,"University of Victoria, Canada"
Zhi Jin,"Peking University, China"
Anders Møller,"Aarhus University, Denmark"
Lori Pollock,"University of Delaware, USA"
Dongmei Zhang,"Microsoft Research, China"
Thomas Zimmermann,"Microsoft Research, United States"
Rui Abreu,"Faculty of Engineering, University of Porto, Portugal"
Georgios Gousios,"Facebook & Delft University of Technology, Netherlands"
Saba Alimadadi,"Simon Fraser University, Canada"
Andy Zaidman,"Delft University of Technology, Netherlands"
Maurício Aniche,"Delft University of Technology, Netherlands"
Wei Yang,"University of Texas at Dallas, United States"
Earl T. Barr,"University College London, UK"
Paige Rodeghero,"Clemson University, United States"
Gabriele Bavota,"Software Institute, USI Università della Svizzera italiana, Switzerland"
Yuan Tian,"Queens University, Kingston, Canada"
Jonathan Bell,"Northeastern University, United States"
Tianyin Xu,University of Illinois Urbana-Champaign
Nelly Bencomo,"Aston University, United Kingdom"
Hyunsook Do,"University of North Texas, United States"
Thorsten Berger,Chalmers | University of Gothenburg
Marielle Stoelinga,"University of Twente and Radboud University, Nijmegen, Netherlands"
Dirk Beyer,"LMU Munich, Germany"
Filippo Lanubile,"University of Bari, Italy"
Cor-Paul Bezemer,"University of Alberta, Canada"
Stefan Wagner,"University of Stuttgart, Germany"
Tegawendé F. Bissyandé,"SnT, University of Luxembourg, Luxembourg"
Annibale Panichella,"Delft University of Technology, Netherlands"
Kelly Blincoe,"University of Auckland, New Zealand"
Daniela S. Cruzes,SINTEF
Anne Etien,"Université de Lille, CNRS, Inria, Centrale Lille, UMR 9189 –CRIStAL, France"
Paulo Borba,"Federal University of Pernambuco, Brazil"
Sarah Nadi,"University of Alberta, Canada"
Marcel Böhme,"Monash University, Australia"
Robyn Lutz,"Iowa State University, United States"
Yan Cai,"Institute of Software, Chinese Academy of Sciences, China"
Qirun Zhang,"Georgia Institute of Technology, USA"
Yuanfang Cai,"Drexel University, United States"
Daphne Yao,"Virginia Tech, United States"
Wing-Kwong Chan,"City University of Hong Kong, Hong Kong, China"
Jesus M. Gonzalez-Barahona,"Universidad Rey Juan Carlos, Spain"
Zhenyu Chen,"Nanjing University, China"
Darja Šmite,Blekinge Institute of Technology
Shing-Chi Cheung,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology"
Antonio Ruiz-Cortés,"University of Seville, Spain"
Olga Baysal,"Carleton University, Canada"
Eunjong Choi,"Kyoto Institute of Technology, Japan"
Maria Christakis,MPI-SWS
Xiaoyuan Xie,"School of Computer Science, Wuhan University, China"
Tayana Conte,"Universidade Federal do Amazonas, Brazil"
Per Runeson,"Lund University, Sweden"
Fabiano Dalpiaz,"Utrecht University, Netherlands"
Maya Daneva,"University of Twente, Netherlands"
Yvonne Dittrich,"IT University of Copenhagen, Denmark"
Julian Dolby,"IBM Research, USA"
Neil Ernst,"University of Victoria, Canada"
Denae Ford,"Microsoft Research, United States"
Thomas Fritz,"University of Zurich, Switzerland"
Diego Garbervetsky,"University of Buenos Aires and CONICET, Argentina"
Joshua Garcia,"University of California, Irvine, United States"
Jaco Geldenhuys,Stellenbosch University
Paul Grünbacher,"Johannes Kepler University Linz, Austria"
Esther Guerra,"Universidad Autonoma de Madrid, Spain"
Sonia Haiduc,"Florida State University, United States"
Jennifer Horkoff,"Chalmers and the University of Gothenburg, Sweden"
Jeff Huang,"Texas A&M University, United States"
He Jiang,"School of Software, Dalian University of Technology, China"
Yu Jiang,"Tsinghua University, China"
Brittany Johnson,"George Mason University, United States"
René Just,University of Washington
Yasutaka Kamei,"Kyushu University, Japan"
Aditya Kanade,"Indian Institute of Science, Bangalore"
Miryung Kim,"University of California at Los Angeles, USA"
Moonzoo Kim,"KAIST and V+Lab, South Korea"
Anne Koziolek,"Karlsruhe Institute of Technology, Germany"
Shriram Krishnamurthi,"Brown University, United States"
Raula Gaikovina Kula,"NAIST, Japan"
Julia Lawall,Inria
Wei Le,"Dept. of Computer Science, Iowa State University"
Yves Le Traon,"University of Luxembourg, Luxembourg"
Mario Linares-Vásquez,"Universidad de los Andes, Colombia"
Xuanzhe Liu,"Peking University, China"
Yang Liu,Nanyang Technological University
Jian-Guang Lou,"Microsoft Research, China"
Michael Lyu,The Chinese University of Hong Kong
Xiaoxing Ma,"Nanjing University, China"
Andrian Marcus,"University of Texas at Dallas, United States"
Sabrina Marczak,"PUCRS, Brazil"
Shane McIntosh,"University of Waterloo, Canada"
Na Meng,"Virginia Tech, USA"
Ali Mesbah,"University of British Columbia (UBC), Canada"
Ana Moreira,"NOVA University of Lisbon and NOVA LINCS, Portugal"
Emerson Murphy-Hill,Google
Mei Nagappan,"University of Waterloo, Canada"
Maleknaz Nayebi,"Polytechnique Montréal, Canada"
Jianwei Niu,"University of Texas at San Antonio, United States"
Nan Niu,"University of Cincinnati, United States"
James Noble,"Victoria University of Wellington, New Zealand"
Nicole Novielli,"University of Bari, Italy"
Hakjoo Oh,Korea University
Rocco Oliveto,University of Molise
Chris Parnin,"North Carolina State University, United States"
Liliana Pasquale,"University College Dublin & Lero, Ireland"
Xin Peng,"Fudan University, China"
Dietmar Pfahl,"University of Tartu, Estonia"
Martin Pinzger,"Alpen-Adria-Universität Klagenfurt, Austria"
Michael Pradel,"University of Stuttgart, Germany"
Mukul Prasad,"Fujitsu Laboratories of America, United States"
Paul Ralph,"Dalhousie University, Canada"
Baishakhi Ray,"Columbia University, USA"
Peter Rigby,"Concordia University, Montreal, Canada"
Abhik Roychoudhury,"National University of Singapore, Singapore"
Julia Rubin,"University of British Columbia, Canada"
Cindy Rubio-González,"University of California, Davis, United States"
Guenther Ruhe,"University of Calgary, Canada"
Barbara Russo,"Free University of Bolzano, Italy"
Sukyoung Ryu,"KAIST, South Korea"
Mehrdad Sabetzadeh,"EECS, University of Ottawa"
Anita Sarma,Oregon State University
Weiyi Shang,Concordia University
Kathryn Stolee,"North Carolina State University, United States"
Yulei Sui,University of Technology Sydney
Jun Sun,"Singapore Management University, Singapore"
Kla Tantithamthavorn,"Monash University, Australia"
Paolo Tonella,"USI Lugano, Switzerland"
Rachel Tzoref-Brill,"IBM Research, Israel"
Marco Tulio Valente,"Federal University of Minas Gerais, Brazil"
Xiaoyin Wang,University of Texas at San Antonio
Michael Whalen,"University of Minnesota, USA"
Dinghao Wu,"Pennsylvania State University, United States"
Andrzej Wąsowski,"IT University of Copenhagen, Denmark"
Xin Xia,"Huawei Software Engineering Application Technology Lab, China"
Xusheng Xiao,Case Western Reserve University
Zhenchang Xing,"Australian National University, Australia"
Yingfei Xiong,"Peking University, China"
Lihua Xu,New York University Shanghai
Jingling Xue,"UNSW Sydney, Australia"
Tuba Yavuz,"University of Florida, United States"
Jooyong Yi,"UNIST (Ulsan National Institute of Science and Technology), South Korea"
Tingting Yu,"University of Kentucky, United States"
Tao Yue,"Simula Research Laboratory, Norway"
Andreas Zeller,"CISPA Helmholtz Center for Information Security, Germany"
Hongyu Zhang,The University of Newcastle
Sai Zhang,Google Cloud
Jianjun Zhao,"Kyushu University, Japan"
Marcelo d'Amorim,"Federal University of Pernambuco, Brazil"
Myra Cohen,"Iowa State University, United States"
Stephanie Forrest,Arizona State University
Shi Han,"Microsoft Research Asia, China"
Paola Inverardi,"University of L'Aquila, Italy"
Raghavan Komondoor,"Indian Institute of Science, Bangalore, India"
Heather Miller,"Carnegie Mellon University, USA"
Diptikalyan Saha,"IBM Research India, India"
Bonita Sharif,"University of Nebraska-Lincoln, USA"
Helen Sharp,"The Open University, United Kingdom"
Pei Wang,Google
Minhui (Jason) Xue,"The University of Adelaide, Australia"
Ye Yang,Stevens institute of technology
Natalia Juristo,"Universidad Politecnica de Madrid, Spain"
Oscar Dieste,"Universidad Politécnica de Madrid, Spain"
Arie van Deursen,"Delft University of Technology, Netherlands"
Tao Xie,"Peking University, China"
Andrea Zisman,"The Open University, United Kingdom"
Leonardo Mariani,"University of Milano Bicocca, Italy"
Sigrid Eldh,"Ericsson, Sweden"
Davide Falessi,"California Polytechnic State University, United States"
Patricia Lago,"Vrije Universiteit Amsterdam, Netherlands"
Gail Murphy,"University of British Columbia, Canada"
Hakan Erdogmus,"Carnegie Mellon University, United States"
Ana María Moreno,"Universidad Politécnica de Madrid, Spain"
Oscar Pastor,"Universitat Politecnica de Valencia, Spain"
Birgit Penzenstadler,"Chalmers, Sweden"
Lionel Briand,University of Luxembourg and University of Ottawa
Robert Feldt,"Chalmers | University of Gothenburg, Blekinge Institute of Technology, Sweden"
Xavier Franch,"Universitat Politècnica de Catalunya, Spain"
Grace Lewis,"Carnegie Mellon Software Engineering Institute, United States"
Silvia Abrahão,"Universitat Politècnica de València, Spain"
Daniel Mendez,"Blekinge Institute of Technology, Sweden"
Sebastian Uchitel,"Universidad de Buenos Aires / Imperial College, Argentina"
Sira Vegas,"Universidad Politecnica de Madrid, Spain"
Giuseppe Scanniello,"University of Basilicata, Italy"
Francisco Servant,"Virginia Tech, United States"
Jeff Carver,"University of Alabama, United States"
Gregorio Robles,"Universidad Rey Juan Carlos, Spain"
Marsha Chechik,"University of Toronto, Canada"
Laurie Williams,"North Carolina State University, United States"
Federica Sarro,"University College London, United Kingdom"
Davide Fucci,"Blekinge Institute of Technology, Sweden"
Harald Gall,"University of Zurich, Switzerland"
Nenad Medvidović,"University of Southern California, USA"
Rashina Hoda,"Monash University, Australia"
David C. Shepherd,"Virginia Commonwealth University, United States"
Burak Turhan,"Monash University, Australia"
Antonia Bertolino,"CNR-ISTI, Italy"
Alessandra Gorla,"IMDEA Software Institute, Spain"
Ignacio Panach,"Universidad de Valencia, Spain"
José Miguel Rojas,"University of Leicester, UK, United Kingdom"
Mika Mäntylä,"University of Oulu, Finland"
Maria Teresa Baldassarre,"Department of Computer Science, University of Bari, Italy"
Nachiappan Nagappan,"Microsoft Research, United States"
Norsaremah Salleh,"International Islamic University Malaysia, Malaysia"
Diego Vallespir,"Universidad de la Republica, Uruguay"
Sebastian Proksch,"Delft University of Technology, Netherlands"
Daniel Graziotin,"University of Stuttgart, Germany"
Beatriz Bernárdez,"Universidad de Sevilla, Spain"
John W. Castro,"Universidad de Atacama, Chile"
Francy Rodríguez,"Universidad Católica de Ávila, Spain"
Javier Troya,"Universidad de Málaga, Spain"
Claudia Ayala,"Universitat Politècnica de Catalunya, Spain"
Pilar Rodriguez,"Universidad Politécnica de Madrid, Spain"
Sergio Segura,"Universidad de Sevilla, Spain"
Alessandro Garcia,"PUC-Rio, Brazil"
Aurora Ramírez,"University of Córdoba, Spain"
Silverio Martínez-Fernández,"UPC-BarcelonaTech, Spain"
Carolyn Seaman,"University of Maryland Baltimore County, United States"
Ayse Tosun,"Istanbul Technical University, Turkey"
Silvia Teresita Acuña Castillo,"Universidad Autónoma de Madrid, Spain"
Marcela Fabiana Genero Bocco,"University of Castilla-La Mancha, Spain"
Joanne M. Atlee,"University of Waterloo, Canada"
Alexander Serebrenik,"Eindhoven University of Technology, Netherlands"
Coral Calero,"Universidad de Castilla La Mancha, Spain"
Francisco Gortázar,"Universidad Rey Juan Carlos, Spain"
Martín Solari,"Universidad ORT Uruguay, Uruguay"
Marc Oriol,"Universitat Politècnica de Catalunya, Spain"
Fabio Calefato,"University of Bari, Italy"
Igor Steinmacher,"Northern Arizona University, USA, Brazil"
Patanamon Thongtanunam,"The University of Melbourne, Australia"
Sarah Beecham,"Lero - The Irish Software Research Centre and University of Limerick, Ireland"
Michael Whalen,"University of Minnesota, USA"
Carolyn Seaman,"University of Maryland Baltimore County, United States"
David Lo,"Singapore Management University, Singapore"
Denys Poshyvanyk,"College of William and Mary, United States"
Myra Cohen,"Iowa State University, United States"
Corina S. Pasareanu,"Carnegie Mellon University Silicon Valley & NASA Ames Research Center, United States"
Abhik Roychoudhury,"National University of Singapore, Singapore"
Walid Maalej,"University of Hamburg, Germany"
Margaret-Anne Storey,"University of Victoria, Canada"
Andrian Marcus,"University of Texas at Dallas, United States"
Bram Adams,"Queens University, Canada"
Kelly Blincoe,"University of Auckland, New Zealand"
Rui Abreu,"University of Porto, Portugal"
Iftekhar Ahmed,"University Of California, Irvine, United States"
Dalal Alrajeh,"Imperial College London, United Kingdom"
Giulio Antoniol,"Polytechnique Montreal, Canada"
Venera Arnaoudova,"Washington State University, United States"
Paris Avgeriou,"University of Groningen, Netherlands"
Alberto Bacchelli,"University of Zurich, Switzerland"
Sebastian Baltes,"SAP SE & University of Adelaide, Germany"
Muneera Bano,"Deakin University, Australia"
Luciano Baresi,"Politecnico di Milano, Italy"
Olga Baysal,"Carleton University, Canada"
Christoph Becker,"University of Toronto, Canada"
Amel Bennaceur,"The Open University, United Kingdom"
Alexandre Bergel,"RelationalAI, Switzerland"
Thorsten Berger,"Ruhr University Bochum and Chalmers | University of Gothenburg, Germany"
Antonia Bertolino,"ISTI-CNR, Italy"
Ivan Beschastnikh,"University of British Columbia, Canada"
Christian Bird,"Microsoft Research, United States"
Tegawendé F. Bissyandé,"University of Luxembourg, Luxembourg"
Eric Bodden,"Paderborn University & Fraunhofer IEM, Germany"
Marcel Böhme,"Max Planck Institute for Security and Privacy, and Monash University, Germany"
Markus Borg,"RISE Research Institutes of Sweden, Sweden"
Barbora Buhnova,"Masaryk University, Czech Republic"
Cristian Cadar,"Imperial College London, United Kingdom"
Satish Chandra,"Facebook, United States"
Oscar Chaparro,"College of William & Mary, United States"
Sudipta Chattopadhyay,"Singapore University of Technology and Design, Singapore"
Marsha Chechik,"University of Toronto, Canada"
Chunyang Chen,"Monash University, Australia"
Jürgen Cito,"TU Wien, Austria"
James Clause,"University of Delaware, United States"
Jane Cleland-Huang,"University of Notre Dame, United States"
Anthony Cleve,"University of Namur, Belgium"
Marcelo d'Amorim,"Federal University of Pernambuco, Brazil"
Kostadin Damevski,"Virginia Commonwealth University, United States"
Cristina David,"University of Bristol, United Kingdom"
Premkumar Devanbu,"UC Davis, United States"
Tapajit Dey,"University of Limerick, Ireland"
Davide Di Ruscio,"University of L'Aquila, Italy"
Andrea Di Sorbo,"University of Sannio, Italy"
Yvonne Dittrich,"IT University of Copenhagen, Denmark"
Naipeng Dong,"University of Queensland, Australia"
Matt Dwyer,"University of Virginia, United States"
Alexander Egyed,"Johannes Kepler University Linz, Austria"
Sebastian Elbaum,"University of Virginia, United States"
Sigrid Eldh,"Ericsson AB, Mälardalen University, Carleton University, Sweden"
Emelie Engström,"Lund University, Sweden"
Neil Ernst,"University of Victoria, Canada"
Fabian Fagerholm,"Aalto University, Finland"
Rudolf Ferenc,"University of Szeged, Hungary"
Alessio Ferrari,"Consiglio Nazionale delle Ricerche (CNR), Italy"
Antonio Filieri,"Imperial College London, United Kingdom"
Bernd Fischer,"Stellenbosch University, South Africa"
Xavier Franch,"Universitat Politècnica de Catalunya, Spain"
Gordon Fraser,"University of Passau, Germany"
Thomas Fritz,"University of Zurich, Switzerland"
Juan Galeotti,"University of Buenos Aires, Argentina"
Alessandro Garcia,"Pontifical Catholic University of Rio de Janeiro (PUC-Rio), Brazil"
Joshua Garcia,"University of California, Irvine, United States"
Alejandra Garrido,"LIFIA, University of La Plata & CONICET, Argentina"
Rohit Gheyi,"Federal University of Campina Grande, Brazil"
Milos Gligoric,"The University of Texas at Austin, United States"
Jesus M. Gonzalez-Barahona,"Universidad Rey Juan Carlos, Spain"
Divya Gopinath,"KBR Inc., NASA AMES, United States"
Jin Guo,"McGill University, Canada"
Irit Hadar,"University of Haifa, Israel"
Mark Harman,"Facebook and UCL, United Kingdom"
Fei He,"Tsinghua University, China"
Reid Holmes,"University of British Columbia, Canada"
Jennifer Horkoff,"Chalmers | University of Gothenburg, Sweden"
Marianne Huchard,"LIRMM, Univ Montpellier, France"
Paola Inverardi,"Università dell'Aquila, Italy"
Reyhaneh Jabbarvand,"University of Illinois at Urbana-Champaign, United States"
Gunel Jahangirova,"Università della Svizzera italiana, Switzerland"
Ciera Jaspan,"Google, United States"
Lingxiao Jiang,"Singapore Management University, Singapore"
Brittany Johnson,"George Mason University, United States"
Christine Julien,"The University of Texas at Austin, United States"
René Just,"University of Washington, United States"
Yasutaka Kamei,"Kyushu University, Japan"
Katja Kevic,"Microsoft, United Kingdom"
Foutse Khomh,"Polytechnique Montreal, Canada"
Dongsun Kim,"Kyungpook National University, Korea, South"
Raghavan Komondoor,"Indian Institute of Science, Bangalore, India"
Raula Gaikovina Kula,"Nara Institute of Science and Technology, Japan"
Thomas LaToza,"George Mason University, United States"
Julia Lawall,"Inria, France"
Bach Le,"The University of Melbourne, Australia"
Wei Le,"Iowa State University, United States"
Claire Le Goues,"Carnegie Mellon University, United States"
Seok-Won Lee,"Ajou University, Korea, South"
Philipp Leitner,"Chalmers | University of Gothenburg, Sweden"
Valentina Lenarduzzi,"LUT University, Finland"
Yi Li,"Nanyang Technological University, Singapore"
Ming Li,"Nanjing University, China"
Li Li,"Monash University, Australia"
Yiling Lou,"Purdue University, United States"
Lei Ma,"University of Alberta, Canada"
Patrick Mäder,"Technische Universität Ilmenau & Friedrich Schiller University Jena, Germany"
Sonal Mahajan,"Fujitsu Research of America, Inc., United States"
Ivano Malavolta,"Vrije Universiteit Amsterdam, Netherlands"
Jonathan Maletic,"Kent State University, United States"
Shahar Maoz,"Tel Aviv University, Israel"
Leonardo Mariani,"University of Milano-Bicocca, Italy"
Ruben Martins,"Carnegie Mellon University, United States"
Anastasia Mavridou,"KBR, NASA Ames Research Center, United States"
Shane McIntosh,"University of Waterloo, Canada"
Collin McMillan,"University of Notre Dame, United States"
Nenad Medvidović,"University of Southern California, United States"
Tim Menzies,"NC State, United States"
