Abhik Roychoudhury,"[National University of Singapore, Singapore]"
Adam Porter,[University of Maryland]
Aditya Kanade,"[Indian Institute of Science, Bangalore]"
Ahmed E. Hassan,"[Queen's University, Canada]"
Ajitha Rajan,"[University of Edinburgh, United Kingdom]"
Akash Lal,"[Microsoft Research, India, Microsoft Research]"
Akond Rahman,"[Auburn University, United States]"
Alberto Bacchelli,"[University of Zurich, Switzerland]"
Aldeida Aleti,"[Monash University, Australia]"
Alejandra Garrido,"[LIFIA, University of La Plata & CONICET, Argentina]"
Alessandra Gorla,"[IMDEA Software Institute, Spain, Technical Briefings Co-chair]"
Alessandra Russo,"[Imperial College London, United Kingdom, Imperial College, UK]"
Alessandro Garcia,"[PUC-Rio, Brazil, Pontifical Catholic University of Rio de Janeiro (PUC-Rio), Brazil, Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio), Brazil]"
Alessandro Orso,"[Georgia Institute of Technology, United States, Georgia Tech, United States]"
Alessio Ferrari,"[Consiglio Nazionale delle Ricerche (CNR), Italy, CNR-ISTI, Italy]"
Alex Groce,"[Northern Arizona University, United States]"
Alex Orso,"[Georgia Institute of Technology, USA]"
Alexander Chatzigeorgiou,"[University of Macedonia, Greece]"
Alexander Egyed,"[Johannes Kepler University Linz, Austria]"
Alexander Nolte,"[University of Tartu, Estonia]"
Alexander Serebrenik,"[Eindhoven University of Technology, Netherlands]"
Alexandre Bergel,"[RelationalAI, Switzerland]"
Ali Mesbah,"[University of British Columbia (UBC), Canada, University of British Columbia, Canada]"
Ali Ouni,"[ETS Montreal, University of Quebec, Canada]"
Alvine Boaye Belle,"[York University, Canada]"
Amel Bennaceur,"[The Open University, United Kingdom]"
Amjed Tahir,"[Massey University, New Zealand]"
Amy Ko,"[University of Washington, United States, University of Washington]"
Ana María Moreno,"[Universidad Politécnica de Madrid, Spain]"
Ana Milanova,"[Rensselaer Polytechnic Institute, United States]"
Ana Moreira,"[NOVA University of Lisbon and NOVA LINCS, Portugal]"
Ana Paiva,"[Faculty of Engineering of the University of Porto, Portugal]"
Anand Ashok Sawant,"[University of California, Davis]"
Anastasia Mavridou,"[KBR, NASA Ames Research Center, United States]"
Anders Møller,"[Aarhus University, Denmark]"
Andre van der Hoek,"[University of California, Irvine, United States]"
Andrea Arcuri,"[Kristiania University College, Norway]"
Andrea Di Sorbo,"[University of Sannio, Italy]"
Andrea Stocco,"[Università della Svizzera italiana (USI), Switzerland]"
Andrea Zisman,"[The Open University, United Kingdom, The Open University]"
Andreas Metzger,"[University of Duisburg-Essen, Germany]"
Andreas Vogelsang,"[University of Cologne, Germany]"
Andreas Wortmann,"[RWTH Aachen, Germany]"
Andreas Zeller,"[CISPA Helmholtz Center for Information Security, Germany, CISPA, Germany, CISPA / Saarland University, Germany]"
Andrew Begel,"[Microsoft Research, USA, Microsoft Research, United States]"
Andrian Marcus,"[University of Texas at Dallas, United States, George Mason University, United States]"
Andrzej Wasowski,"[IT University of Copenhagen, Denmark]"
Andrzej Wąsowski,"[IT University of Copenhagen, Denmark]"
André N. Meyer,[University of Zurich]
Andy Zaidman,"[Delft University of Technology, Netherlands, Delft University of Technology, The Netherlands]"
Anindya Iqbal,"[Bangladesh University of Engineering and Technology, Bangladesh]"
Anita Sarma,"[Oregon State University, Oregon State University, United States, Oregon State University, USA, United States]"
Anna Baynes,[Sacramento State University]
Anna Liu,"[Amazon Web Services, United States]"
Anna Perini,"[Fondazione Bruno Kessler, Italy]"
Anne Etien,"[Université de Lille, CNRS, Inria, Centrale Lille, UMR 9189 –CRIStAL, France]"
