A. Cristiano I. Malossi,[IBM Corporation*]
Aaron Smith,[Microsoft Research]
Abdou Guermouche,"[University of Bordeaux (IMB), French Institute for Research in Computer Science and Automation (INRIA)]"
Abdurrahaman Yasar,[NVIDIA]
Abhinav Bhatele,[University of Maryland]
Abhinav S Thota,[Indiana University]
Abhinav Vishnu,[Advanced Micro Devices (AMD) Inc]
Abhishek Singharoy,[Arizona State University]
Ada Gavrilovska,[Georgia Institute of Technology]
Adam Bertsch,[Lawrence Livermore National Laboratory]
Addi Malviya-Thakur,"[Oak Ridge National Laboratory (ORNL), University of Tennessee]"
Adel N. Toosi,[Monash University]
Aditi Krishnapriyan,[Lawrence Berkeley National Laboratory (LBNL)]
Aditya Devarakonda,[Wake Forest University]
Admela Jukan,"[Technical University of Braunschweig*, Technical University of Braunschweig]"
Adriana E. Chis,[National College of Ireland]
Advait Madhavan,[National Institute of Standards and Technology; University of Maryland College Park]
Ahmad Abdelfattah,[University of Tennessee]
Ahmad Afsahi,"[Queen's University, Canada]"
Ahmed Ali-Eldin Hassan,"[Chalmers University of Technology, Sweden; Elastisys, Sweden]"
AhmedEl-Mahdy,[Nile University; E-JUST]
Akanksha Jain,[University of Texas]
Akira Naruse,[NVIDIA Corporation]
Alainna White,[Hewlett Packard Enterprise]
Alan Gray,[NVIDIA Corporation]
Alana Romanella,"[University of Colorado, Boulder]"
Alba Cristina Magalhaes Alves de Melo,[University of Brasilia]
Albert-Jan Yzelman,[Huawei Technologies Switzerland AG]
Alessandro Vittorio Papadopoulos,"[Malardalen University, Sweden]"
Alessio Sclocco,[Netherlands eScience Center]
Alex Aiken,[Stanford University]
Alex Fender,[NVIDIA]
Alex Gittens,[Rensselaer Polytechnic Institute (RPI)]
Alexander Heinecke,[Intel Corporation]
Alexandru Costan,"[French Institute for Research in Computer Science and Automation (INRIA); National Institute for Research in Computer Science and Automation (Inria), France, French Institute for Research in Computer Science and Automation (INRIA)]"
Alexandru Iosup,"[Vrije University Amsterdam, Delft University of Technology, Vrije University Amsterdam; Delft University of Technology]"
Alexey Lastovetsky,[University College Dublin]
Alfredo Goldman,[University of São Paulo]
Ali Anwar,[University of Minnesota]
Ali R. Butt,[Virginia Tech]
Ali Shafiee Ardestani,[Samsung Semiconductor Inc]
Alicia Klinvex,[Naval Nuclear Laboratory]
Alison Kennedy,"[Hartree Centre, Science and Technology Facilities Council (STFC), UK]"
Allen Malony,"[University of Oregon, ParaTools Inc, University of Oregon; ParaTools Inc, University of Oregon]"
Allison H. Baker,[National Center for Atmospheric Research (NCAR)]
Almadena Chtchelkanova,[National Science Foundation (NSF)]
Amanda J. Bienz,[University of New Mexico]
Amanda M. Bonnie,[LANL]
Amanda Randles,[Duke University]
Amelie Chi Zhou,"[Hong Kong Baptist University, Shenzhen University]"
Amir Gholami,"[University of California, Berkeley]"
Amir Yazdanbakhsh,[Google Research]
Amit Ruhela,"[Texas Advanced Computing Center (TACC), University of Texas]"
Amy Apon,[Clemson University]
Ana Gainaru,"[Oak Ridge National Laboratory (ORNL), Oak Ridge National Laboratory]"
Ana Lucia Varbanescu,"[University of Twente, University of Amsterdam, University of Twente and University of Amsterdam, University of Amsterdam]"
Ananth Kalyanaraman,[Washington State University]
Anastasiia Butko,[Lawrence Berkeley National Laboratory (LBNL)]
Andra-Ecaterina Hugo,[DataDirect Networks (DDN)]
Andrea Bartolini,[University of Bologna]
Andreas Hadjigeorgiou,[The Cyprus Institute]
Andreas Knuepfer,[Technical University Dresden*]
Andreas Knüpfer,[Helmholtz-Zentrum Dresden-Rossendorf (HZDR); Center for Advanced Systems Understanding (CASUS)]
Andres Rodriguez,[Intel Corporation]
Andrew Chien,"[University of Chicago, Argonne National Laboratory (ANL)]"
Andrew Mallinson,[Intel Corporation*]
Andrew Putnam,[Microsoft Corporation]
Andrew Younge,[Sandia National Laboratories]
Andrzej Kochut,[unaffiliated]
André Brinkmann,[Johannes Gutenberg University Mainz]
Andy Herdman,[AWE plc]
Ang Li,[Pacific Northwest National Laboratory (PNNL)]
Angel Beltre,[State University of New York at Binghamton]
Aniello Esposito,"[Hewlett Packard Enterprise (HPE), Hewlett Packard Enterprise]"
Animesh Trivedi,[Vrije University Amsterdam]
Aniruddha Gokhale,[Vanderbilt University]
Ann Almgren,[Lawrence Berkeley National Laboratory (LBNL)]
Ann Gentile,[Sandia National Laboratories]
Anna Maria Bailey,[Lawrence Livermore National Laboratory; Energy Efficient HPC Working Group]
Anna Queralt,"[Barcelona Supercomputing Center (BSC); Polytechnic University of Catalonia, Spain, Barcelona Supercomputing Center (BSC); Polytechnic University of Catalonia]"
Anna Sikora,"[Autonomous University of Barcelona, Spain]"
Anne Benoit,[ENS Lyon]
Anne C. Elster,[Norwegian University of Science and Technology (NTNU)]
Anshu Dubey,"[Argonne National Laboratory (ANL), University of Chicago]"
Anthony Kougkas,[Illinois Institute of Technology]
Antonino Tumeo,[Pacific Northwest National Laboratory (PNNL)]
Antonio Sciarappa,"[Leonardo Labs, Italy]"
Aparna Chandramowlishwaran,"[University of California, Irvine]"
Aravind Sukumaran-Rajam,[Meta]
Ariful Azad,[Indiana University]
Arnab K. Paul,"[BITS Pilani, K. K. Birla Goa Campus]"
Arthur Maccabe,[Oak Ridge National Laboratory (ORNL)]
Arvind Ramanathan,[Argonne National Laboratory (ANL)]
Assefaw Gebremedhin,[Washington State University]
Atakan Aral,[University of Vienna]
Atsushi Hori,[RIKEN]
Aurelien Bouteiller,[University of Tennessee]
Axel Klawonn,"[University of Cologne, Department of Mathematics and Computer Science]"
Aydin Buluc,"[Lawrence Berkeley National Laboratory (LBNL); University of California, Berkeley]"
Ayesha Afzal,"[Friedrich-Alexander-Universität Erlangen-Nürnberg Germany, Erlangen National High Performance Computing Center (NHR@FAU)]"
Ayon Basumallik,[Lightmatter Inc.]
Ayse Kivilcim Coskun,[Boston University]
Aytekin Gel,"[ALPEMI Consulting, L.L.C.]"
Azzam Haidar,[NVIDIA Corporation]
Balazs Gerofi,"[Intel Corporation, RIKEN, RIKEN*, Intel, RIKEN]"
Barbara Chapman,"[Hewlett Packard Enterprise, Stony Brook University]"
Barry Rountree,[Lawrence Livermore National Laboratory]
Berk Geveci,[Kitware Inc]
Bernd Mohr,[Juelich Supercomputing Centre (JSC)]
Bert Wesarg,"[GWT-TUD GmbH; Department for Information Services and High Performance Computing (ZIH), Center for Interdisciplinary Digital Sciences (CIDS), Technische Universität Dresden]"
Bertil Schmidt,[Johannes Gutenberg University Mainz]
Bharti Wadhwa,[IBM Research]
Biagio Cosenza,[University of Salerno]
Bilel Hadri,[King Abdullah University of Science and Technology (KAUST)]
Bin Dong,[Lawrence Berkeley National Laboratory (LBNL)]
Bin Ren,[William & Mary]
Bing Xie,"[Microsoft Corporation, Microsoft, Oak Ridge National Laboratory (ORNL)]"
Bingsheng He,[National University of Singapore]
Bo Wu,[Colorado School of Mines]
Bogdan Nicolae,[Argonne National Laboratory (ANL)]
Bora Uçar,[French National Center for Scientific Research (CNRS)]
Boris Ginsburg,[NVIDIA Corporation]
Boyana Norris,"[Luminous Computing; University of Oregon, University of Oregon]"
Brad Settlemyer,"[Los Alamos National Laboratory, NVIDIA Corporation]"
Bradford Chamberlain,"[Hewlett Packard Enterprise, University of Washington]"
Brandic Ivona,[Vienna University of Technology]
Brandon Reagen,"[New York University (NYU), Facebook]"
Brian Barrett,[Amazon Web Services]
