Abdigani Dirye,[Unknown]
Abhimanyu Lad,"[LinkedIn, Corp. – USA]"
Adam Fourney,[Microsoft – USA]
Adrian-Gabriel Chifu,"[Université Aix-Marseille-Toulon, CNRS, LIS – France]"
Ahmet Aker,[University of Duisburg-Essen – Germany]
Aixin Sun,[Nanyang Technological University – Singapore]
Alan Said,[University of Gothenburg – Sweden]
Alberto Barrón-Cedeño,[Università di Bologna – Italy]
Alejandro Bellogín,[Universidad Autónoma de Madrid]
Alejandro Moreo Fernández,[Istituto di Scienza e Tecnologie dell'Informazione A. Faedo – Italy]
Alessandro Moschitti,[Amazon – USA]
Alexander Kotov,[Wayne State University – USA]
Alexander Libov,[Amazon – Israel]
Alexandra Olteanu,[Microsoft – USA]
Alexandra Papoutsaki,[Pomona College – USA]
Alexandros Ntoulas,[LinkedIn – USA]
Alistair Moffat,"[The University of Melbourne, The University of Melbourne – Australia]"
Allan Hanbury,[Vienna University of Technology – Austria]
Altigran Soares da Silva,[Universidade Federal do Amazonas]
Amir Ingber,[Amazon Research – Israel]
Amr Ahmed,[Google – USA]
An-Zi Yen,[National Yang Ming Chiao Tung University]
Anastasia Giachanou,[Universitat Politècnica de València – Spain]
Andreas Lommatzsch,[TU Berlin – Germany]
Andrew Macfarlane,"[City, University of London – UK]"
Andrew Trotman,[University of Otago – New Zealand]
Arjen de Vries,[Radboud University – The Netherlands]
Asia J. Biega,[Microsoft Research Montréal – Germany]
Aston Zhang,[Amazon AI – USA]
Avi Arampatzis,[Democritus University of Thrace – Greece]
Avishek Anand,[L3S Research Center – Germany]
Aya Soffer,[IBM Research – Israel]
Azin Ashkan,[Google – USA]
B. Taner Dincer,[University of Mugla – Turkey]
Baichuan Zhang,[Facebook – USA]
Baolin Peng,[The Chinese University of Hong Kong – Hong Kong]
Barbara Poblete,"[University of Chile and Amazon Visiting Academic, University of Chile, University of Chile – Chile]"
Ben Carterette,[University of Delaware – USA]
Ben He,[University of Chinese Academy of Sciences – China]
Benjamin Piwowarski,[CNRS - Sorbonne Université – France]
Berkant Barla Cambazoglu,[RMIT University – Australia]
Berthier Ribeiro-Neto,"[Google Engineering & CS Department, UFMG – Brazil]"
Besnik Fetahu,[L3S Research Center – Germany]
Bevan Koopman,[CSIRO – Australia]
Bhaskar Mitra,"[Microsoft, Microsoft – UK]"
Bin Wang,[Xiaomi AI Labs – China]
Bo Zhao,[Pinterest – USA]
Bodo Billerbeck,[Microsoft – Australia]
Bracha Shapira,[Ben Gurion University of the Negev]
Brian Davison,[Lehigh University – USA]
Bruce Croft,[University of Massachusetts Amherst – USA]
