Aditya Agrawal,NVIDIA
Junwhan Ahn,Google
Geoffrey Burr,IBM Research
Hadi Esmaeilzadeh,University of California - San Diego
Zhenman Fang,UCLA / SFU
Rajiv Gupta,UC Riverside
Seonyeong Heo,POSTECH
Jen-Cheng Huang,Georgia Tech
Paolo Ienne,EPFL
KH Kim,IBM Research
James Laudon,Google
Chao Li,Shanghai Jiao Tong University
Tao Li,University of Florida
Jason Lowe-Power,UC Davis
Daniel Lustig,NVIDIA
Kunle Olukotun,Stanford
Binh Pham,Intel
Daniel Prener,IBM Research
Norman Rubin,Northeastern University
Hardik Sharma,Georgia Institute of Technology
Alex Solomatnikov,SiFive Inc.
Steven Swanson,UC San Diego
Dave Wecker,Microsoft Hardware Systems Group
Wenyao Xu,SUNY Buffalo
Siavash Zangeneh,University of Texas - Austin
Yuanyuan Zhou,UC San Diego
Jeongseob Ahn,Ajou
Eric Borch,Intel
Chiachen Chou,Georgia Tech
Ali Fakrgenzadeh,University of Texas - Austin
Phillip Gibbons,CMU
Faruk Guvinilir,University of Texas - Austin
Mark A Horowitz,Stanford University
Robert Hundt,Google
Joon Kyung Kim,University of California - San Diego
Djordje Jevdjic,National University of Singapore
Joo Hwan Lee,Samsung
Shuangchen Li ,University of California - Santa Barbara
Ben Lin,University of Texas - Austin
Shih-Lien Lu,TSMC / Oregon State University
Yunho Oh,Yonsei University
Leeor Peled,Technion/Intel
Javier Picorel,Huawei
Stephen Pruett,University of Texas - Austin
Vasili Semenov,Stonybrook University
Jaewoong Sim,Intel Labs
Lavanya Subramanian,Facebook
Dmitrii Ustiugov,EPFL
Emmett Witchel,University of Texas - Austin
Amir Yazdanbakhsh,Google
Hongzhong Zheng,Samsung Semiconductor

