Mohammad Alian,University of Kansas
Erik Altman,IBM
Amro Awad,North Carolina State University
Rajeev Balasubramonian,University of Utah
Jonathan Balkind,UC Santa Barbara
Yungang Bao,ICT/CAS
Sergey Blagodurov,AMD
Martin Burtscher,Texas State University
Ramon Canal,Universitat Politècnica de Catalunya
Ying Chen,Nvidia
Yu-Hsin Chen,Meta
Guilherme Cox,NVIDIA
Alexandros Daglis,Georgia Tech
Christina Delimitrou,MIT
Yongshan Ding,Yale University
Ronald Dreslinski,University of Michigan
Zidong Du,"Institute of Computing Technology, Chinese Academy of Sciences"
Mattan Erez,UT Austin
Stijn Eyerman,Intel
Babak Falsafi,EPFL
Zhenman Fang,Simon Fraser University
Paolo Faraboschi,HPE
Josue Feliu,Universidad de Murcia
Jayesh Gaur,Intel Labs
Rajiv Gupta,University of California Riverside
Anthony Gutierrez,AMD Research
Nikos Hardavellas,Northwestern University
Jian Huang,University of Illinois at Urbana-Champaign
Christopher Hughes,Intel
Mohsen Imani,University of California Irvine
Jose Joao,Arm
Russ Joseph,Northwestern University
Onur Kayiran,AMD Research
Omer Khan,University of Connecticut
Youngsok Kim,Yonsei University
Hanjun Kim,Yonsei University
Jagadish Kotra,AMD Research
Christos Kozyrakis,Stanford University
Rakesh Kumar,UIUC
Seyong Lee,Oak Ridge National Laboratory
Jaejin Lee,Seoul National University
Tamara Lehman,University of Colorado Boulder
Ang Li,Pacific Northwest National Laboratory
Mieszko Lis,University of British Columbia
Heiner Litz,UC Santa Cruz
Scott Mahlke,"University of Michigan, Nvidia Research"
Andreas Moshovos,Univ of Toronto
Trevor Mudge,University of Michigan
Abdullah Muzahid,Texas A&M University
Vijaykrishnan Narayanan,The Pennsylvania State University
Satish Narayanasamy,University of Michigan - Ann Arbor
Michael O'Boyle,University of Edinburgh
Chang Hyun Park,Uppsala University
Tirthak Patel,Rice University
Lillian Pentecost,Amherst College
Raghavendra Pradyumna Pothukuchi,Yale University
Andrew Putnam,Microsoft
Gokul Subramanian Ravi,University of Chicago
Steve Reinhardt,Microsoft
Minsoo Rhu,KAIST / Meta
Scott Rixner,Rice University
Elaheh Sadredini,UC Riverside
Ananda Samajdar,IBM Research
John (Jack) Sampson,Pennsylvania State University
John Sartori,University of Minnesota
Yiannakis Sazeides,University of Cyprus
Xipeng Shen,North Carolina State University
Timothy Sherwood,UC Santa Barbara
Kate Smith,University of Chicago
William Song,Yonsei University
Daniel Sorin,Duke University
Karin Strauss,Microsoft
Suvinay Subramanian,Google
Edward Suh,Cornell University / Meta
Hyojin Sung,POSTECH
Karthik Swaminathan,IBM Research
Jakub Szefer,Yale University
Xulong Tang,University of Pittsburgh
Mohammadkazem Taram,Purdue University
Radu Teodorescu,The Ohio State University
Po-An Tsai,NVIDIA
Osman Sabri Ünsal,Barcelona Supercomputinng Center
Guru Venkataramani,George Washington University
Wenjie Xiong,Virginia Tech
Jieming Yin,Nanjing University of Posts and Telecommunications
Cliff Young,Google
Jishen Zhao,UCSD
Yuhao Zhu,University of Rochester
