Aditya Agrawal,NVIDIA
Junwhan Ahn,Google
Geoffrey Burr,IBM Research
Hadi Esmaeilzadeh,University of California - San Diego
Zhenman Fang,UCLA / SFU
Rajiv Gupta,UC Riverside
Seonyeong Heo,POSTECH
Jen-Cheng Huang,Georgia Tech
Paolo Ienne,EPFL
KH Kim,IBM Research
James Laudon,Google
Chao Li,Shanghai Jiao Tong University
Tao Li,University of Florida
Jason Lowe-Power,UC Davis
Daniel Lustig,NVIDIA
Kunle Olukotun,Stanford
Binh Pham,Intel
Daniel Prener,IBM Research
Norman Rubin,Northeastern University
Hardik Sharma,Georgia Institute of Technology
Alex Solomatnikov,SiFive Inc.
Steven Swanson,UC San Diego
Dave Wecker,Microsoft Hardware Systems Group
Wenyao Xu,SUNY Buffalo
Siavash Zangeneh,University of Texas - Austin
Yuanyuan Zhou,UC San Diego
Jeongseob Ahn,Ajou
Eric Borch,Intel
Chiachen Chou,Georgia Tech
Ali Fakrgenzadeh,University of Texas - Austin
Phillip Gibbons,CMU
Faruk Guvinilir,University of Texas - Austin
Mark A Horowitz,Stanford University
Robert Hundt,Google
Joon Kyung Kim,University of California - San Diego
Djordje Jevdjic,National University of Singapore
Joo Hwan Lee,Samsung
Shuangchen Li ,University of California - Santa Barbara
Ben Lin,University of Texas - Austin
Shih-Lien Lu,TSMC / Oregon State University
Yunho Oh,Yonsei University
Leeor Peled,Technion/Intel
Javier Picorel,Huawei
Stephen Pruett,University of Texas - Austin
Vasili Semenov,Stonybrook University
Jaewoong Sim,Intel Labs
Lavanya Subramanian,Facebook
Dmitrii Ustiugov,EPFL
Emmett Witchel,University of Texas - Austin
Amir Yazdanbakhsh,Google
Hongzhong Zheng,Samsung Semiconductor
Nael Abu-Ghazaleh,UC Riverside
Almutaz Adileh,Huawei
Shoaib Akram,ANU
Alaa Alameldeen,Intel
Murali Annavaram,USC
Rachata Ausavarungnirun,KMUTNB
Amro Awad,UCF
Mario Badr,Toronto
Jonathan Balkind,Princeton
Arka Basu,IISc
Chris Batten,Cornell
Scott Beamer,UC Santa Cruz
Brad Beckmann,AMD
Koen Bertels,TU Delft
Ricardo Bianchini,Microsoft
David Black-Schaffer,Uppsala
Trey Cain,Marvell
Ramon Canal,UPC
John Carter,IBM
Haibo Chen,Shanghai Jiao Tong
Lizhong Chen,Oregon State
Yunji Chen,ICT
Derek Chiou,MicrosoftUT Austin
Sangyeun Cho,Samsung
Frederic Chong,Chicago
Esha Choukse,Microsoft
Jason Clemons,NVIDIA
Caroline Collange,INRIA
Alexandros Daglis,GATech
Chita Das,Penn State
Christina Delimitrou,Cornell
Joe Devietti,UPenn
Sandhya Dwarkadas,Rochester
Eiman Ebrahimi,NVIDIA
Yasuko Eckert,AMD
Stijn Eyerman,Intel
Paolo Faraboschi,HP
Josue Feliu,UPV
Mike Ferdman,Stony Brook
Jayesh Gaur,Intel
Saugata Ghose,CMU
Dimitris Gizopoulos,University of Athens
Vaibhav Gogte,Michigan
Dibakar Gope,Arm Research
Bhargava Gopireddy,NVIDIA
Paul Gratz,TAMU
Boris Grot,Edinburgh
Sudhanva Gurumurthi,AMDVirginia
Nikos Hardavellas,Northwestern
Wim Heirman,Intel
Mark Hempstead,Tufts
Andrew Hilton,Duke
Mark Hill,Wisconsin
James Hoe,CMU
Yang Hu,UT Dallas
Yu Hua,HUST
Yipeng Huang,Princeton
Jian Huang,UIUC
Koji Inoue,Kyushu
Engin Ipek,Rochester
Ravi Iyer,Intel
Akanksha Jain,UT Austin
Xun Jian,Virginia Tech
Jose Joao,Arm Research
Adwait Jog,William & Mary
Timothy Jones,Cambridge
Russ Joseph,Northwestern
Norm Jouppi,Google
Steve Keckler,NVIDIA
Samira Khan,Virginia
