Tor Aamodt,UBC
Nael Abu-Ghazaleh,UC Riverside
Alaa Alameldeen,Simon Fraser
Carmen G. Almudever,Technical University of Valencia
Bahar Asgari,UMD
Amro Awad,NCSU
Jonathan Balkind,UC Santa Barbara
Yungang Bao,"ICT, CAS"
Christopher Batten,Cornell
John Carter,IBM
Haibo Chen,Shanghai Jiao Tong University
Derek Chiou,UT Austin
Esha Choukse,Microsoft
Jason Cong,UCLA
Tom Conte,GATech
Neal Crago,NVidia
Reetuparna Das,University of Michigan
Chita Das,Penn State
Yufei Ding,UC Santa Barbara
Ronald Dreslinski,University of Michigan
Zidong Du,"ICT, CAS"
Yasuko Eckert,AMD Research
Yoav Etsion,Technion/Speedata
Chris Fletcher,UIUC
Antonio Gonzalez,UPC
Paul V. Gratz,Texas A&M
Rajiv Gupta,UC Riverside
Nikos Hardavellas,Northwestern
Kim Hazelwood,Facebook
Henry Hoffmann,University of Chicago
Koji Inoue,Kyushu University
Akanksha Jain,Google
Djordje Jevdjic,NU Singapore
Daniel A. Jiménez,Texas A&M
Russ Joseph,Northwestern
Ulya Karpuzcu,University of Minnesota
Steve Keckler,NVidia
Samira Khan,UVA
John Kim,Kaist
Martha Kim,Columbia
Tushar Krishna,GATech
Milind Kulkarni,Purdue
Rakesh Kumar,UIUC
Ruby Lee,Princeton
Benjamin Lee,UPenn
Tamara Silbergleit Lehman,CU Boulder
Yanjing Li,University of Chicago
Jing (Jane) Li,UPenn
Lei Liu,"ICT, CAS"
Jason Lowe-Power,UC Davis
Brandon Lucia,CMU
Martin Maas,Google
Scott Mahlke,University of Michigan
Diana Marculescu,UT Austin
Gokhan Memik,Northwestern
Avi Mendelson,Technion
Joshua San Miguel,Wisconsin
Jaime Moreno,IBM
Frank Mueller,NCSU
Abdullah Muzahid,Texas A&M
Satish Narayanasamy,Michigan
Thu D. Nguyen,Rutgers
Seda Ogrenci-Memik,Northwestern
Gilles Pokam,Intel
Milos Prvulovic,GATech
Moinuddin Qureshi,GATech
Gokul Subramanian Ravi,University of Chicago
Vijay Janapa Reddi,Harvard
Tajana Rosing,UCSD
John (Jack) Sampson,Penn State
Karu Sankaralingam,Wisconsin
Simha Sethumadhavan,Columbia University/Chip Scan
Sophia Shao,Berkeley
Timothy Sherwood,UC Santa Barbara
Arrvindh Shriraman,Simon Fraser
Cristina Silvano,Politecnico di Milano
Matt Sinclair,Wisconsin & AMD Research
Anand Sivasubramaniam,Penn State
Dimitrios Skarlatos,CMU
Daniel Sorin,Duke
Ravi Soundararajan,VMware
Viji Srinivasan,IBM
Per Stenstrom,Chalmers
Suvinay Subramanian,Google
Jakub Szefer,Yale
Swamit Tannu,Wisconsin
Xulong Tang,University of Pittsburgh
Mithuna Thottethodi,Purdue
Mohit Tiwari,UT Austin
Josep Torrellas,UIUC
Caroline Trippel,Stanford
Hung-Wei Tseng,UC Riverside
Dean Tullsen,UCSD
Ashish Venkat,UVA
Nandita Vijaykumar,Toronto
T. N. Vijaykumar,Purdue
David Wentzlaff,Princeton University
Lisa Wu Wills,Duke
Mengjia Yan,MIT
Donald Yeung,UMD
Jishen Zhao,UCSD
Yuanyuan Zhou,UCSD
