Aaron Elmore, University of Chicago (USA)
Abolfazl Asudeh, University of Illinois at Chicago (USA)
Adriane Chapman, University of Southampton (UK)
Agma Traina, ICMC-USP (Brazil)
Alekh Jindal, Microsoft (USA)
Alexander Boehm, SAP SE (Germany), Alexander Böhm 0002
Alkis Simitsis, Hewlett Packard Enterprise (USA)
Alon Halevy, Facebook (USA)
Alvin Cheung, University of California Berkeley (USA), Alvin Cheung
Andreas Kipf, Massachusetts Institute of Technology (USA)
Anja Gruenheid, Google Inc. (USA)
Anna Fariha, University of Massachusetts Amherst (USA) 
Antonis Deligiannakis, Technical University of Crete (Greece) 
Arnab Nandi, OSU (USA)
Avigdor Gal, Technion - Israel Institute of Technology (Israel) 
Azade Nazi, Google Brain (USA)
Baihua Zheng, Singapore Management University (Singapore) 
Bailu Ding, Microsoft Research (USA)
Barna Saha, University of California Berkeley (USA)
Birgitta König-Ries, Friedrich-Schiller-Universität Jena (Germany) 
Boris Glavic, Illinois Institute of Technology (USA)
Byron Choi, Hong Kong Baptist University (Hong Kong SAR) 
Carsten Binnig, TU Darmstadt (Germany)
Ce Zhang, ETH (Switzerland), Ce Zhang 0001
Chenggang Wu, University of Caifornia Berkeley (USA), Chenggang Wu 0001
Christian Jensen, Aalborg University (Denmark)
Christopher De Sa, Cornell University (USA)
Chunbin Lin, Amazon AWS (USA)
Curtis Dyreson, Utah State University (USA)
Da Yan, University of Alabama at Birmingham (USA), Da Yan 0001
Danica Porobic, Oracle (USA)
Davide Mottin, Aarhus University (Denmark)
Dumitrel Loghin, National University of Singapore (Singapore) 
Eddie Kohler, Harvard University (USA)
Elena Ferrari, University of Insubria Varese (Italy)
Elisa Bertino, Purdue University (USA)
Eric Lo, Chinese University of Hong Kong (Hong Kong SAR), Eric Lo 0001
Erkang Zhu, Microsoft (USA)
Erietta Liarou, Vertica (USA)
Essam Mansour, Concordia University (Canada), Essam Mansour 0001
Evangelia Sitaridi, Amazon Web Services (USA)
Fatemeh Nargesian, University of Rochester (USA)
Fei Chiang, McMaster University (Canada)
Feifei Li, Alibaba Group (USA), Feifei Li 0001
Foto Afrati, NTUA (Greece)
Francesco Bonchi, ISI Foundation, Turin (Italy)
Gabriela Jacques-Silva, Facebook (USA)
George Fakas, Uppsala University (Sweden)
George Fletcher, Eindhoven University of Technology the Netherlands (Netherlands), George Fletcher 0001
George Kollios, Boston University (USA)
George Papadakis, University of Athens (Greece), George Papadakis 0001
Giovanni Simonini, University of Modena and Reggio Emilia (Italy)
Hakan Ferhatosmanoglu, University of Warwick (UK)
