id,label,description,url,x,y,cluster,weight<Links>,weight<Total link strength>
z/EllenWZegura,Ellen Zegura,<h2><b>Ellen Zegura</b></h2><h3>dblp_id: z/EllenWZegura</h3><h3>DBLP URL: <a href='https://dblp.org/pid/z/EllenWZegura'>https://dblp.org/pid/z/EllenWZegura</a></h3><h3>Affiliation: Georgia Institute of Technology</h3>,https://dblp.org/pid/z/EllenWZegura,-0.7238,-0.3014,1,25,108
77/3626,Aaron Schulman,<h2><b>Aaron Schulman</b></h2><h3>dblp_id: 77/3626</h3><h3>DBLP URL: <a href='https://dblp.org/pid/77/3626'>https://dblp.org/pid/77/3626</a></h3><h3>Affiliation: UC San Diego</h3>,https://dblp.org/pid/77/3626,-0.8408,-0.2384,1,13,96
s/NeilTSpring,Neil Spring,"<h2><b>Neil Spring</b></h2><h3>dblp_id: s/NeilTSpring</h3><h3>DBLP URL: <a href='https://dblp.org/pid/s/NeilTSpring'>https://dblp.org/pid/s/NeilTSpring</a></h3><h3>Affiliation: University of Maryland / Facebook, Facebook</h3>",https://dblp.org/pid/s/NeilTSpring,-0.8331,-0.2135,1,10,102
s/AlexCSnoeren,Alex C. Snoeren,"<h2><b>Alex C. Snoeren</b></h2><h3>dblp_id: s/AlexCSnoeren</h3><h3>DBLP URL: <a href='https://dblp.org/pid/s/AlexCSnoeren'>https://dblp.org/pid/s/AlexCSnoeren</a></h3><h3>Affiliation: UC San Diego / Google, UC San Diego</h3>",https://dblp.org/pid/s/AlexCSnoeren,-0.7956,-0.3398,1,20,142
22/3604,Barath Raghavan,"<h2><b>Barath Raghavan</b></h2><h3>dblp_id: 22/3604</h3><h3>DBLP URL: <a href='https://dblp.org/pid/22/3604'>https://dblp.org/pid/22/3604</a></h3><h3>Affiliation: USC, University of Southern California, University of Southern California / Invisv</h3>",https://dblp.org/pid/22/3604,-0.8542,-0.3008,1,14,58
p/VenkataNPadmanabhan,Venkat Padmanabhan,<h2><b>Venkat Padmanabhan</b></h2><h3>dblp_id: p/VenkataNPadmanabhan</h3><h3>DBLP URL: <a href='https://dblp.org/pid/p/VenkataNPadmanabhan'>https://dblp.org/pid/p/VenkataNPadmanabhan</a></h3><h3>Affiliation: Microsoft</h3>,https://dblp.org/pid/p/VenkataNPadmanabhan,-0.512,-0.439,1,21,114
m/BruceMMaggs,Bruce Maggs,"<h2><b>Bruce Maggs</b></h2><h3>dblp_id: m/BruceMMaggs</h3><h3>DBLP URL: <a href='https://dblp.org/pid/m/BruceMMaggs'>https://dblp.org/pid/m/BruceMMaggs</a></h3><h3>Affiliation: Duke/Akamai, Duke University and Emerald Innovations</h3>",https://dblp.org/pid/m/BruceMMaggs,-0.8694,-0.1675,1,34,228
03/6428,Dave Levin,<h2><b>Dave Levin</b></h2><h3>dblp_id: 03/6428</h3><h3>DBLP URL: <a href='https://dblp.org/pid/03/6428'>https://dblp.org/pid/03/6428</a></h3><h3>Affiliation: University of Maryland</h3>,https://dblp.org/pid/03/6428,-0.8356,-0.1811,1,13,134
50/1133,Sachin Katti,<h2><b>Sachin Katti</b></h2><h3>dblp_id: 50/1133</h3><h3>DBLP URL: <a href='https://dblp.org/pid/50/1133'>https://dblp.org/pid/50/1133</a></h3><h3>Affiliation: Intel and Stanford University</h3>,https://dblp.org/pid/50/1133,-0.8157,-0.292,1,16,124
h/JohnSHeidemann,John Heidemann,"<h2><b>John Heidemann</b></h2><h3>dblp_id: h/JohnSHeidemann</h3><h3>DBLP URL: <a href='https://dblp.org/pid/h/JohnSHeidemann'>https://dblp.org/pid/h/JohnSHeidemann</a></h3><h3>Affiliation: University of Southern California, USC/ISI</h3>",https://dblp.org/pid/h/JohnSHeidemann,-0.573,-0.0252,1,20,74
00/3507,Bo Han,"<h2><b>Bo Han</b></h2><h3>dblp_id: 00/3507</h3><h3>DBLP URL: <a href='https://dblp.org/pid/00/3507'>https://dblp.org/pid/00/3507</a></h3><h3>Affiliation: George Mason University, USA, AT&T Labs Research, USA</h3>",https://dblp.org/pid/00/3507,-0.1556,-0.3794,10,21,148
48/6854,David Choffnes,<h2><b>David Choffnes</b></h2><h3>dblp_id: 48/6854</h3><h3>DBLP URL: <a href='https://dblp.org/pid/48/6854'>https://dblp.org/pid/48/6854</a></h3><h3>Affiliation: Northeastern University</h3>,https://dblp.org/pid/48/6854,-0.7983,-0.1234,1,31,282
