z/EllenWZegura,77/3626,2
z/EllenWZegura,s/AlexCSnoeren,2
z/EllenWZegura,h/JohnSHeidemann,2
z/EllenWZegura,b/FabianEBustamante,2
z/EllenWZegura,v/AminVahdat,8
z/EllenWZegura,23/100,20
z/EllenWZegura,55/925,2
z/EllenWZegura,94/1243,2
z/EllenWZegura,b/SuBanerjee,2
z/EllenWZegura,87/840,2
z/EllenWZegura,40/503,2
z/EllenWZegura,74/5250,4
z/EllenWZegura,37/8397,2
z/EllenWZegura,a/EhabAlShaer,2
z/EllenWZegura,r/JenniferRexford,6
z/EllenWZegura,15/5634,2
z/EllenWZegura,68/5579,2
z/EllenWZegura,c/JonCrowcroft,2
z/EllenWZegura,66/2080,2
z/EllenWZegura,71/5170,2
z/EllenWZegura,b/EMBeldingRoyer,28
z/EllenWZegura,53/1565,2
z/EllenWZegura,122/9141,4
z/EllenWZegura,l/BrianNeilLevine,2
z/EllenWZegura,45/3224,2
77/3626,s/NeilTSpring,18
77/3626,s/AlexCSnoeren,14
77/3626,22/3604,2
77/3626,p/VenkataNPadmanabhan,4
77/3626,m/BruceMMaggs,2
77/3626,03/6428,14
77/3626,50/1133,6
77/3626,h/JohnSHeidemann,2
77/3626,00/3507,2
77/3626,48/6854,10
77/3626,b/FabianEBustamante,2
77/3626,52/10159,18
s/NeilTSpring,p/VenkataNPadmanabhan,4
s/NeilTSpring,03/6428,32
s/NeilTSpring,00/3507,4
s/NeilTSpring,81/6327,10
s/NeilTSpring,02/4751,2
s/NeilTSpring,w/DavidWetherall,18
s/NeilTSpring,v/ArunVenkataramani,2
s/NeilTSpring,63/4719,10
s/NeilTSpring,66/1199,2
s/AlexCSnoeren,22/3604,12
s/AlexCSnoeren,52/10159,2
s/AlexCSnoeren,v/GeorgeVarghese,12
s/AlexCSnoeren,v/AminVahdat,50
s/AlexCSnoeren,38/4497,2
s/AlexCSnoeren,s/PeterSteenkiste,2
s/AlexCSnoeren,s/AmanShaikh,2
s/AlexCSnoeren,s/SrinivasanSeshan,8
s/AlexCSnoeren,54/4031,2
s/AlexCSnoeren,87/840,8
s/AlexCSnoeren,81/6327,2
s/AlexCSnoeren,48/7546,2
s/AlexCSnoeren,234/7672,8
s/AlexCSnoeren,w/DavidWetherall,2
s/AlexCSnoeren,p/DanPei,2
s/AlexCSnoeren,03/3188,4
s/AlexCSnoeren,13/7972,4
s/AlexCSnoeren,126/1063,2
22/3604,v/AminVahdat,2
22/3604,55/925,10
22/3604,87/840,2
22/3604,78/8146,4
22/3604,74/5250,4
22/3604,w/DavidWetherall,2
22/3604,r/JenniferRexford,6
22/3604,68/5579,6
22/3604,66/2080,2
22/3604,g/BrightenGodfrey,2
22/3604,50/4752,2
22/3604,45/5812,2
p/VenkataNPadmanabhan,99/2097,2
p/VenkataNPadmanabhan,v/GeorgeVarghese,6
p/VenkataNPadmanabhan,s/SrinivasanSeshan,10
p/VenkataNPadmanabhan,45/4044,2
p/VenkataNPadmanabhan,r/SanjayGRao,2
p/VenkataNPadmanabhan,54/4031,22
p/VenkataNPadmanabhan,p/JPadhye,12
p/VenkataNPadmanabhan,08/5351,8
p/VenkataNPadmanabhan,57/6706,4
p/VenkataNPadmanabhan,43/4261,2
p/VenkataNPadmanabhan,z/BenYZhao,4
p/VenkataNPadmanabhan,64/4885,6
p/VenkataNPadmanabhan,r/KKRamakrishnan,2
p/VenkataNPadmanabhan,b/EMBeldingRoyer,2
p/VenkataNPadmanabhan,71/1693,8
p/VenkataNPadmanabhan,49/8398,4
p/VenkataNPadmanabhan,73/1997-1,2
p/VenkataNPadmanabhan,118/3387,4
p/VenkataNPadmanabhan,44/2325,4
m/BruceMMaggs,03/6428,22
m/BruceMMaggs,48/6854,20
m/BruceMMaggs,a/AdityaAkella,12
m/BruceMMaggs,13/6769-22,2
m/BruceMMaggs,s/RameshKSitaraman,40
m/BruceMMaggs,s/SrinivasanSeshan,14
m/BruceMMaggs,45/4044,2
m/BruceMMaggs,r/SanjayGRao,2
m/BruceMMaggs,16/6873,2
m/BruceMMaggs,49/7538,4
m/BruceMMaggs,59/146-1,2
m/BruceMMaggs,k/SrikanthKandula,2
m/BruceMMaggs,65/1459,2
m/BruceMMaggs,78/8146,18
m/BruceMMaggs,02/4751,2
m/BruceMMaggs,91/584,4
m/BruceMMaggs,155/5773,8
m/BruceMMaggs,75/6403,2
m/BruceMMaggs,60/4358,4
m/BruceMMaggs,f/AnjaFeldmann,12
m/BruceMMaggs,w/WalterWillinger,2
m/BruceMMaggs,87/6218,4
m/BruceMMaggs,b/PaulBarford,2
