id,label,description,url,x,y,cluster,weight<Links>,weight<Total link strength>
a/AdityaAkella,Aditya Akella,"<h2><b>Aditya Akella</b></h2><h3>dblp_id: a/AdityaAkella</h3><h3>DBLP URL: <a href='https://dblp.org/pid/a/AdityaAkella'>https://dblp.org/pid/a/AdityaAkella</a></h3><h3>Affiliation: UT Austin and Google, UWM, University of Wisconsin–Madison</h3>",https://dblp.org/pid/a/AdityaAkella,-0.867,-0.4511,1,306,18834
77/3626,Aaron Schulman,<h2><b>Aaron Schulman</b></h2><h3>dblp_id: 77/3626</h3><h3>DBLP URL: <a href='https://dblp.org/pid/77/3626'>https://dblp.org/pid/77/3626</a></h3><h3>Affiliation: UC San Diego</h3>,https://dblp.org/pid/77/3626,-0.9086,-0.075,1,143,3234
07/5905,Zhi-Li Zhang,<h2><b>Zhi-Li Zhang</b></h2><h3>dblp_id: 07/5905</h3><h3>DBLP URL: <a href='https://dblp.org/pid/07/5905'>https://dblp.org/pid/07/5905</a></h3><h3>Affiliation: University of Minnesota</h3>,https://dblp.org/pid/07/5905,-0.2429,-0.3075,1,374,14410
40/6686-2,Zhi Liu,"<h2><b>Zhi Liu</b></h2><h3>dblp_id: 40/6686-2</h3><h3>DBLP URL: <a href='https://dblp.org/pid/40/6686-2'>https://dblp.org/pid/40/6686-2</a></h3><h3>Affiliation: The University of Electro-Communications, Japan</h3>",https://dblp.org/pid/40/6686-2,0.8986,-0.3,3,234,14122
13/6769-22,Ying Zhang,<h2><b>Ying Zhang</b></h2><h3>dblp_id: 13/6769-22</h3><h3>DBLP URL: <a href='https://dblp.org/pid/13/6769-22'>https://dblp.org/pid/13/6769-22</a></h3><h3>Affiliation: Facebook</h3>,https://dblp.org/pid/13/6769-22,-0.5929,-0.3526,1,313,10204
61/3906-10,Yang Xu,<h2><b>Yang Xu</b></h2><h3>dblp_id: 61/3906-10</h3><h3>DBLP URL: <a href='https://dblp.org/pid/61/3906-10'>https://dblp.org/pid/61/3906-10</a></h3><h3>Affiliation: Fudan University</h3>,https://dblp.org/pid/61/3906-10,-0.2209,-0.374,6,167,6690
93/89,Y. Charlie Hu,<h2><b>Y. Charlie Hu</b></h2><h3>dblp_id: 93/89</h3><h3>DBLP URL: <a href='https://dblp.org/pid/93/89'>https://dblp.org/pid/93/89</a></h3><h3>Affiliation: Purdue University</h3>,https://dblp.org/pid/93/89,-0.4431,-0.4421,1,353,17550
53/1565,Xiapu Luo,"<h2><b>Xiapu Luo</b></h2><h3>dblp_id: 53/1565</h3><h3>DBLP URL: <a href='https://dblp.org/pid/53/1565'>https://dblp.org/pid/53/1565</a></h3><h3>Affiliation: The Hong Kong Polytechnic University, Hong Kong, The Hong Kong Polytechnic University, China, The Hong Kong Polytechnic University</h3>",https://dblp.org/pid/53/1565,0.581,0.2986,4,241,6386
y/XiaoweiYang,Xiaowei Yang,"<h2><b>Xiaowei Yang</b></h2><h3>dblp_id: y/XiaoweiYang</h3><h3>DBLP URL: <a href='https://dblp.org/pid/y/XiaoweiYang'>https://dblp.org/pid/y/XiaoweiYang</a></h3><h3>Affiliation: Duke and Google, Duke University</h3>",https://dblp.org/pid/y/XiaoweiYang,-0.6358,-0.3925,1,217,4864
56/4439,Wen Hu,<h2><b>Wen Hu</b></h2><h3>dblp_id: 56/4439</h3><h3>DBLP URL: <a href='https://dblp.org/pid/56/4439'>https://dblp.org/pid/56/4439</a></h3><h3>Affiliation: UNSW</h3>,https://dblp.org/pid/56/4439,-0.3043,-0.1424,1,243,5092
w/WalterWillinger,Walter Willinger,"<h2><b>Walter Willinger</b></h2><h3>dblp_id: w/WalterWillinger</h3><h3>DBLP URL: <a href='https://dblp.org/pid/w/WalterWillinger'>https://dblp.org/pid/w/WalterWillinger</a></h3><h3>Affiliation: NIKSUN, Inc., NIKSUN</h3>",https://dblp.org/pid/w/WalterWillinger,-0.6765,-0.1642,1,288,12458
45/4044,Vyas Sekar,<h2><b>Vyas Sekar</b></h2><h3>dblp_id: 45/4044</h3><h3>DBLP URL: <a href='https://dblp.org/pid/45/4044'>https://dblp.org/pid/45/4044</a></h3><h3>Affiliation: CMU</h3>,https://dblp.org/pid/45/4044,-0.7941,-0.4278,1,313,15726
p/VenkataNPadmanabhan,Venkat Padmanabhan,<h2><b>Venkat Padmanabhan</b></h2><h3>dblp_id: p/VenkataNPadmanabhan</h3><h3>DBLP URL: <a href='https://dblp.org/pid/p/VenkataNPadmanabhan'>https://dblp.org/pid/p/VenkataNPadmanabhan</a></h3><h3>Affiliation: Microsoft</h3>,https://dblp.org/pid/p/VenkataNPadmanabhan,-0.6084,-0.5002,1,254,8956
49/7538,Theo Benson,<h2><b>Theo Benson</b></h2><h3>dblp_id: 49/7538</h3><h3>DBLP URL: <a href='https://dblp.org/pid/49/7538'>https://dblp.org/pid/49/7538</a></h3><h3>Affiliation: Brown University</h3>,https://dblp.org/pid/49/7538,-0.9032,-0.3034,1,233,37560
76/6860,Te-yuan Huang,<h2><b>Te-yuan Huang</b></h2><h3>dblp_id: 76/6860</h3><h3>DBLP URL: <a href='https://dblp.org/pid/76/6860'>https://dblp.org/pid/76/6860</a></h3><h3>Affiliation: Netflix</h3>,https://dblp.org/pid/76/6860,-0.9636,-0.0997,1,77,984
