id,label,description,url,x,y,cluster,weight<Links>,weight<Total link strength>
v/YannisVelegrakis,Yannis Velegrakis,<h2><b>Yannis Velegrakis</b></h2><h3>dblp_id: v/YannisVelegrakis</h3><h3>DBLP URL: <a href='https://dblp.org/pid/v/YannisVelegrakis'>https://dblp.org/pid/v/YannisVelegrakis</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/v/YannisVelegrakis,-0.1311,-0.3675,11,32,266
49/10034,Matteo Interlandi,<h2><b>Matteo Interlandi</b></h2><h3>dblp_id: 49/10034</h3><h3>DBLP URL: <a href='https://dblp.org/pid/49/10034'>https://dblp.org/pid/49/10034</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/49/10034,-0.7837,0.6236,11,30,242
97/919-1,Ce Zhang 0001,<h2><b>Ce Zhang 0001</b></h2><h3>dblp_id: 97/919-1</h3><h3>DBLP URL: <a href='https://dblp.org/pid/97/919-1'>https://dblp.org/pid/97/919-1</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/97/919-1,-0.778,0.4718,9,47,498
41/3679,Eugene Wu 0002,<h2><b>Eugene Wu 0002</b></h2><h3>dblp_id: 41/3679</h3><h3>DBLP URL: <a href='https://dblp.org/pid/41/3679'>https://dblp.org/pid/41/3679</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/41/3679,-0.4334,0.6471,1,35,246
89/6502,Markus Weimer,<h2><b>Markus Weimer</b></h2><h3>dblp_id: 89/6502</h3><h3>DBLP URL: <a href='https://dblp.org/pid/89/6502'>https://dblp.org/pid/89/6502</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/89/6502,-0.8887,0.7365,11,27,204
w/WeiWang,Wei Wang 0010,<h2><b>Wei Wang 0010</b></h2><h3>dblp_id: w/WeiWang</h3><h3>DBLP URL: <a href='https://dblp.org/pid/w/WeiWang'>https://dblp.org/pid/w/WeiWang</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/w/WeiWang,0.3955,0.3261,7,26,308
a/GustavoAlonso,Gustavo Alonso,<h2><b>Gustavo Alonso</b></h2><h3>dblp_id: a/GustavoAlonso</h3><h3>DBLP URL: <a href='https://dblp.org/pid/a/GustavoAlonso'>https://dblp.org/pid/a/GustavoAlonso</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/a/GustavoAlonso,-0.7977,0.2839,3,52,468
127/3025,Joy Arulraj,<h2><b>Joy Arulraj</b></h2><h3>dblp_id: 127/3025</h3><h3>DBLP URL: <a href='https://dblp.org/pid/127/3025'>https://dblp.org/pid/127/3025</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/127/3025,-0.5214,0.4157,1,9,52
b/SBergamaschi,Sonia Bergamaschi,<h2><b>Sonia Bergamaschi</b></h2><h3>dblp_id: b/SBergamaschi</h3><h3>DBLP URL: <a href='https://dblp.org/pid/b/SBergamaschi'>https://dblp.org/pid/b/SBergamaschi</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/b/SBergamaschi,-0.2461,-0.2561,11,13,164
65/5338,Spyros Blanas,<h2><b>Spyros Blanas</b></h2><h3>dblp_id: 65/5338</h3><h3>DBLP URL: <a href='https://dblp.org/pid/65/5338'>https://dblp.org/pid/65/5338</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/65/5338,-0.4062,0.1538,1,19,74
75/887,Matthias Boehm 0001,<h2><b>Matthias Boehm 0001</b></h2><h3>dblp_id: 75/887</h3><h3>DBLP URL: <a href='https://dblp.org/pid/75/887'>https://dblp.org/pid/75/887</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/75/887,-0.5035,-0.4021,3,22,166
c/CarloCurino,Carlo Curino,<h2><b>Carlo Curino</b></h2><h3>dblp_id: c/CarloCurino</h3><h3>DBLP URL: <a href='https://dblp.org/pid/c/CarloCurino'>https://dblp.org/pid/c/CarloCurino</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/c/CarloCurino,-0.8158,0.7617,11,46,338
08/7992,Avrilia Floratou,<h2><b>Avrilia Floratou</b></h2><h3>dblp_id: 08/7992</h3><h3>DBLP URL: <a href='https://dblp.org/pid/08/7992'>https://dblp.org/pid/08/7992</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/08/7992,-1.0348,0.5162,11,41,198
81/10578,Anja Gruenheid,<h2><b>Anja Gruenheid</b></h2><h3>dblp_id: 81/10578</h3><h3>DBLP URL: <a href='https://dblp.org/pid/81/10578'>https://dblp.org/pid/81/10578</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/81/10578,-0.7545,0.5227,1,18,82
180/5761,Brandon Haynes,<h2><b>Brandon Haynes</b></h2><h3>dblp_id: 180/5761</h3><h3>DBLP URL: <a href='https://dblp.org/pid/180/5761'>https://dblp.org/pid/180/5761</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/180/5761,-0.6426,0.7189,1,20,118
j/ChrisJermaine,Chris Jermaine,<h2><b>Chris Jermaine</b></h2><h3>dblp_id: j/ChrisJermaine</h3><h3>DBLP URL: <a href='https://dblp.org/pid/j/ChrisJermaine'>https://dblp.org/pid/j/ChrisJermaine</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/j/ChrisJermaine,0.4483,-0.5048,3,15,82
24/8510,Alekh Jindal,<h2><b>Alekh Jindal</b></h2><h3>dblp_id: 24/8510</h3><h3>DBLP URL: <a href='https://dblp.org/pid/24/8510'>https://dblp.org/pid/24/8510</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/24/8510,-0.7182,0.778,11,49,236
59/7992,Konstantinos Karanasos,<h2><b>Konstantinos Karanasos</b></h2><h3>dblp_id: 59/7992</h3><h3>DBLP URL: <a href='https://dblp.org/pid/59/7992'>https://dblp.org/pid/59/7992</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/59/7992,-0.9529,0.7125,11,23,228
26/6037,Tim Kraska,<h2><b>Tim Kraska</b></h2><h3>dblp_id: 26/6037</h3><h3>DBLP URL: <a href='https://dblp.org/pid/26/6037'>https://dblp.org/pid/26/6037</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/26/6037,-0.4646,0.8276,1,99,884
150/7163,Jyoti Leeka,<h2><b>Jyoti Leeka</b></h2><h3>dblp_id: 150/7163</h3><h3>DBLP URL: <a href='https://dblp.org/pid/150/7163'>https://dblp.org/pid/150/7163</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/150/7163,-0.8834,0.6686,11,13,68
49/612,Yinan Li,<h2><b>Yinan Li</b></h2><h3>dblp_id: 49/612</h3><h3>DBLP URL: <a href='https://dblp.org/pid/49/612'>https://dblp.org/pid/49/612</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/49/612,-0.2315,0.208,1,25,156
175/1473,Ryan Marcus,<h2><b>Ryan Marcus</b></h2><h3>dblp_id: 175/1473</h3><h3>DBLP URL: <a href='https://dblp.org/pid/175/1473'>https://dblp.org/pid/175/1473</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/175/1473,-0.8705,0.3311,1,22,218
182/0250,Supun Nakandala,<h2><b>Supun Nakandala</b></h2><h3>dblp_id: 182/0250</h3><h3>DBLP URL: <a href='https://dblp.org/pid/182/0250'>https://dblp.org/pid/182/0250</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/182/0250,-0.9783,0.5024,11,9,92
71/7422,Olga Poppe,<h2><b>Olga Poppe</b></h2><h3>dblp_id: 71/7422</h3><h3>DBLP URL: <a href='https://dblp.org/pid/71/7422'>https://dblp.org/pid/71/7422</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/71/7422,-0.9212,0.6775,11,16,130
135/5141,Fotis Psallidas,<h2><b>Fotis Psallidas</b></h2><h3>dblp_id: 135/5141</h3><h3>DBLP URL: <a href='https://dblp.org/pid/135/5141'>https://dblp.org/pid/135/5141</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/135/5141,-0.9327,0.58,11,18,134
02/4973,Ravishankar Ramamurthy,<h2><b>Ravishankar Ramamurthy</b></h2><h3>dblp_id: 02/4973</h3><h3>DBLP URL: <a href='https://dblp.org/pid/02/4973'>https://dblp.org/pid/02/4973</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/02/4973,-0.5934,0.1982,1,19,186
118/7229,Sebastian Schelter,<h2><b>Sebastian Schelter</b></h2><h3>dblp_id: 118/7229</h3><h3>DBLP URL: <a href='https://dblp.org/pid/118/7229'>https://dblp.org/pid/118/7229</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/118/7229,-1.0872,0.055,3,19,120
151/8293,Giovanni Simonini,<h2><b>Giovanni Simonini</b></h2><h3>dblp_id: 151/8293</h3><h3>DBLP URL: <a href='https://dblp.org/pid/151/8293'>https://dblp.org/pid/151/8293</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/151/8293,-0.6361,0.6538,11,13,138
t/LetiziaTanca,Letizia Tanca,<h2><b>Letizia Tanca</b></h2><h3>dblp_id: t/LetiziaTanca</h3><h3>DBLP URL: <a href='https://dblp.org/pid/t/LetiziaTanca'>https://dblp.org/pid/t/LetiziaTanca</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/t/LetiziaTanca,-0.195,-0.2529,11,31,154
27/104-1,Nan Tang 0001,<h2><b>Nan Tang 0001</b></h2><h3>dblp_id: 27/104-1</h3><h3>DBLP URL: <a href='https://dblp.org/pid/27/104-1'>https://dblp.org/pid/27/104-1</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/27/104-1,0.1638,0.5846,1,48,694
27/3375,Yuanyuan Tian,<h2><b>Yuanyuan Tian</b></h2><h3>dblp_id: 27/3375</h3><h3>DBLP URL: <a href='https://dblp.org/pid/27/3375'>https://dblp.org/pid/27/3375</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/27/3375,-0.9205,0.4551,3,48,226
47/179,Lijun Chang,<h2><b>Lijun Chang</b></h2><h3>dblp_id: 47/179</h3><h3>DBLP URL: <a href='https://dblp.org/pid/47/179'>https://dblp.org/pid/47/179</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/47/179,0.9939,0.3683,6,29,390
93/9883,Miao Qiao,<h2><b>Miao Qiao</b></h2><h3>dblp_id: 93/9883</h3><h3>DBLP URL: <a href='https://dblp.org/pid/93/9883'>https://dblp.org/pid/93/9883</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/93/9883,0.9282,0.4478,6,7,102
85/5637-1,Hong Cheng 0001,<h2><b>Hong Cheng 0001</b></h2><h3>dblp_id: 85/5637-1</h3><h3>DBLP URL: <a href='https://dblp.org/pid/85/5637-1'>https://dblp.org/pid/85/5637-1</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/85/5637-1,0.7821,0.4125,6,36,448
06/11411,Junhao Gan,<h2><b>Junhao Gan</b></h2><h3>dblp_id: 06/11411</h3><h3>DBLP URL: <a href='https://dblp.org/pid/06/11411'>https://dblp.org/pid/06/11411</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/06/11411,1.0452,0.3504,9,15,78
l/LinXuemin,Xuemin Lin 0001,<h2><b>Xuemin Lin 0001</b></h2><h3>dblp_id: l/LinXuemin</h3><h3>DBLP URL: <a href='https://dblp.org/pid/l/LinXuemin'>https://dblp.org/pid/l/LinXuemin</a></h3><h3>Affiliation: </h3>,https://dblp.org/pid/l/LinXuemin,0.927,0.3256,6,71,2094
