v/YannisVelegrakis,49/10034,6
v/YannisVelegrakis,b/SBergamaschi,22
v/YannisVelegrakis,151/8293,2
v/YannisVelegrakis,t/LetiziaTanca,4
v/YannisVelegrakis,b/ABonifati,6
v/YannisVelegrakis,139/1128,38
v/YannisVelegrakis,135/7623,38
v/YannisVelegrakis,n/FelixNaumann,4
v/YannisVelegrakis,c/PKChrysanthis,4
v/YannisVelegrakis,s/DiveshSrivastava,12
v/YannisVelegrakis,k/FlipKorn,2
v/YannisVelegrakis,41/5464,8
v/YannisVelegrakis,t/WangChiewTan,4
v/YannisVelegrakis,g/AristidesGionis,10
v/YannisVelegrakis,76/3486,2
v/YannisVelegrakis,z/KarineZeitouni,2
v/YannisVelegrakis,z/DemetriosZeinalipourYazti,2
v/YannisVelegrakis,t/FaroukToumani,2
v/YannisVelegrakis,t/YannisTheodoridis,2
v/YannisVelegrakis,57/7247,2
v/YannisVelegrakis,c/VassilisChristophides,4
v/YannisVelegrakis,05/10127,2
v/YannisVelegrakis,h/OktieHassanzadeh,2
v/YannisVelegrakis,w/MelanieWeis,2
v/YannisVelegrakis,i/ZacharyGIves,2
v/YannisVelegrakis,k/GeorgiaKoutrika,10
v/YannisVelegrakis,m/RJMiller,20
v/YannisVelegrakis,p/ThemisPalpanas,36
v/YannisVelegrakis,p/PaoloPapotti,2
v/YannisVelegrakis,97/3301,8
v/YannisVelegrakis,s/TimosKSellis,2
v/YannisVelegrakis,s/MohamedASharaf,4
49/10034,97/919-1,10
49/10034,41/3679,2
49/10034,89/6502,40
49/10034,w/WeiWang,4
49/10034,a/GustavoAlonso,2
49/10034,127/3025,2
49/10034,b/SBergamaschi,14
49/10034,65/5338,2
49/10034,75/887,2
49/10034,c/CarloCurino,28
49/10034,08/7992,8
49/10034,81/10578,4
49/10034,180/5761,4
49/10034,j/ChrisJermaine,2
49/10034,24/8510,16
49/10034,59/7992,26
49/10034,26/6037,4
49/10034,150/7163,8
49/10034,49/612,2
49/10034,175/1473,2
49/10034,182/0250,14
49/10034,71/7422,6
49/10034,135/5141,16
49/10034,02/4973,2
49/10034,118/7229,2
49/10034,151/8293,2
49/10034,t/LetiziaTanca,8
49/10034,27/104-1,2
49/10034,27/3375,2
97/919-1,89/6502,10
97/919-1,a/GustavoAlonso,26
97/919-1,75/887,2
97/919-1,c/CarloCurino,4
97/919-1,08/7992,4
97/919-1,59/7992,4
97/919-1,26/6037,2
97/919-1,135/5141,4
97/919-1,118/7229,8
97/919-1,46/3522,28
97/919-1,30/4308-1,8
97/919-1,l/NinghuiLi,2
97/919-1,m/SamuelMadden,2
97/919-1,l/WLehner,2
97/919-1,s/IonStoica,4
97/919-1,86/9726,2
97/919-1,j/ChristianSJensen,2
97/919-1,82/231,6
97/919-1,77/4620,2
97/919-1,25/7592,2
97/919-1,47/8816,2
97/919-1,151/3263,2
97/919-1,36/2133,6
97/919-1,84/2644,20
97/919-1,77/2970-1,2
97/919-1,c/LeiChen0002,4
97/919-1,33/3180,8
97/919-1,55/5031,74
97/919-1,l/GuoliangLi,2
97/919-1,t/AnthonyKHTung,2
97/919-1,r/ChristopherRe,102
97/919-1,p/NeoklisPolyzotis,2
97/919-1,b/PBonnet,2
97/919-1,131/4767,8
97/919-1,10/760,2
97/919-1,51/11411,4
97/919-1,180/5513,6
97/919-1,154/6336,16
97/919-1,79/583,2
97/919-1,80/1651-2,8
97/919-1,185/1521,56
97/919-1,131/2926,16
97/919-1,131/4047,12
97/919-1,63/9828,2
97/919-1,n/HungQNgo,2
97/919-1,19/1038,2
41/3679,c/CarloCurino,4
41/3679,24/8510,2
41/3679,26/6037,2
41/3679,135/5141,12
41/3679,27/104-1,2
41/3679,38/8707,2
41/3679,n/FelixNaumann,2
41/3679,131/4202,4
41/3679,m/SamuelMadden,40
41/3679,45/1559,2
41/3679,57/10948-1,2
41/3679,h/AlonYHalevy,6
41/3679,17/5910,6
41/3679,f/JulianaFreire,2
41/3679,g/MinosNGarofalakis,2
41/3679,82/231,6
41/3679,04/1835,6
41/3679,d/AmolDeshpande,4
41/3679,75/9436,2
41/3679,40/7459,4
41/3679,58/3771,2
41/3679,f/MJFranklin,26
41/3679,147/1189,18
41/3679,l/GuoliangLi,2
41/3679,i/StratosIdreos,2
41/3679,28/568,6
41/3679,117/4879-1,6
41/3679,39/7183,42
41/3679,27/2143,8
41/3679,s/MichaelStonebraker,6
41/3679,16/4915,2
41/3679,71/5578,8
41/3679,75/5478,2
41/3679,m/TovaMilo,2
89/6502,a/GustavoAlonso,2
89/6502,c/CarloCurino,30
89/6502,08/7992,12
89/6502,24/8510,6
89/6502,59/7992,18
89/6502,26/6037,2
89/6502,150/7163,4
