77/5087,45/7115,16
77/5087,87/4706,3
77/5087,h/MarkDHill,31
77/5087,73/3514,8
77/5087,11/2624,22
77/5087,42/5189,14
77/5087,v/NarayananVijaykrishnan,26
77/5087,89/5932,18
77/5087,10/2904,4
77/5087,01/1282,6
77/5087,m/SAMahlke,26
77/5087,27/3820,6
77/5087,97/4181,30
77/5087,04/3074,14
77/5087,21/4612,10
77/5087,18/4038,28
77/5087,15/3991,16
77/5087,18/1402,22
77/5087,60/6934,56
77/5087,77/4185,24
77/5087,t/JosepTorrellas,48
77/5087,85/6323,30
77/5087,78/3196,20
77/5087,k/DavidRKaeli,6
77/5087,25/8166,48
77/5087,d/ChitaRDas,48
77/5087,x/YuanXie,84
77/5087,01/9032,132
77/5087,27/9796,6
77/5087,33/3960,22
77/5087,168/5992,10
77/5087,138/4146,26
77/5087,99/6904,28
77/5087,87/5027,24
77/5087,117/3197,32
77/5087,38/1130,28
77/5087,p/YaleNPatt,162
77/5087,66/10956,26
77/5087,36/4172,60
77/5087,88/2610,4
77/5087,50/2421,48
77/5087,23/3778,8
77/5087,67/1051,6
77/5087,k/StephenWKeckler,70
77/5087,36/1380,56
77/5087,35/5292,4
77/5087,94/7357,250
77/5087,85/2722,10
77/5087,41/1231,34
77/5087,i/RaviRIyer,52
77/5087,199/7171,94
77/5087,20/6518,18
77/5087,12/6848,32
77/5087,m/OnurMutlu,82
77/5087,00/5672,12
77/5087,61/5482,4
77/5087,86/2654,6
77/5087,68/1138,28
77/5087,73/7116,6
77/5087,22/3969,18
77/5087,95/2048,40
77/5087,86/2160,12
77/5087,10/10980,74
77/5087,11/2192,4
77/5087,66/8314,24
77/5087,17/9796,30
77/5087,138/4166,4
77/5087,25/10955,30
77/5087,46/353,8
77/5087,87/5743,104
77/5087,03/2782,78
77/5087,184/8246,18
77/5087,322/1476,28
77/5087,k/ChristoforosEKozyrakis,16
77/5087,162/9999,6
77/5087,94/4067,20
77/5087,18/6801,24
77/5087,79/413,6
77/5087,78/50,42
77/5087,31/11029,16
77/5087,193/7332,44
77/5087,11/5956,8
77/5087,44/8745,26
77/5087,18/2863,16
77/5087,178/3217,12
77/5087,64/11467,42
77/5087,j/NormanPJouppi,43
77/5087,133/9941,6
77/5087,99/4818,4
77/5087,a/KrsteAsanovic,16
77/5087,a/JungHoAhn,18
77/5087,115/5952,20
77/5087,89/5432,16
77/5087,06/5295,22
77/5087,65/1026,12
77/5087,y/JunYang2,18
77/5087,49/5144,32
77/5087,08/6937,20
77/5087,80/1641,20
77/5087,62/201,22
77/5087,05/6204,12
77/5087,91/1557,24
77/5087,a/ToddMAustin,24
77/5087,14/3973,82
77/5087,04/7001,20
77/5087,40/231,18
77/5087,163/0027,90
77/5087,115/6279,4
77/5087,33/65,30
77/5087,02/8105,16
77/5087,52/10063,6
77/5087,00/809,26
77/5087,i/EnginIpek,26
77/5087,36/3251,20
77/5087,01/1397,36
77/5087,72/3356,22
77/5087,134/8720,30
77/5087,35/6413,12
77/5087,89/6105,16
77/5087,34/3071,14
77/5087,178/3219,20
77/5087,76/11029,4
77/5087,09/5657,3
77/5087,44/11216,8
77/5087,62/1421,20
77/5087,71/5735,6
77/5087,131/5131,6
77/5087,146/9595,8
45/7115,87/4706,7
45/7115,h/MarkDHill,8
45/7115,73/3514,16
45/7115,11/2624,24
45/7115,42/5189,22
45/7115,v/NarayananVijaykrishnan,14
45/7115,89/5932,54
45/7115,10/2904,12
45/7115,01/1282,14
45/7115,207/1837,4
45/7115,k/StefanosKaxiras,12
45/7115,m/SAMahlke,14
45/7115,27/3820,14
45/7115,97/4181,18
45/7115,04/3074,26
45/7115,21/4612,6
45/7115,18/4038,12
45/7115,15/3991,24
45/7115,18/1402,58
45/7115,60/6934,4
45/7115,77/4185,32
45/7115,t/JosepTorrellas,16
45/7115,85/6323,38
45/7115,76/7892,28
45/7115,78/3196,16
45/7115,k/DavidRKaeli,14
45/7115,25/8166,56
45/7115,d/ChitaRDas,32
45/7115,82/3556,12
87/4706,h/MarkDHill,20
87/4706,73/3514,5
87/4706,11/2624,7
87/4706,42/5189,6
87/4706,89/5932,8
87/4706,10/2904,2
87/4706,01/1282,2
87/4706,k/StefanosKaxiras,2
87/4706,m/SAMahlke,4
87/4706,27/3820,2
87/4706,97/4181,17
87/4706,04/3074,6
87/4706,21/4612,3
87/4706,18/4038,2
87/4706,15/3991,9
87/4706,18/1402,10
87/4706,60/6934,5
87/4706,77/4185,11
87/4706,t/JosepTorrellas,23
