135/5141,49/10034,262
135/5141,147/1189,30
135/5141,131/4202,16
135/5141,41/3679,42
135/5141,m/StefanManegold,18
135/5141,49/612,38
135/5141,33/6315-1,6
135/5141,v/YannisVelegrakis,22
135/5141,k/SrikanthKandula,64
135/5141,17/5910,18
135/5141,s/KennethSalem,4
135/5141,01/2861,4
135/5141,131/4166,20
135/5141,147/1263,8
135/5141,117/4879-1,9
135/5141,y/JunYang1,3
135/5141,b/PeterABoncz,6
135/5141,27/104-1,25
135/5141,94/4260,15
135/5141,72/4662,3
135/5141,131/4767,14
135/5141,49/8316,3
135/5141,k/NickKoudas,4
135/5141,180/5513,14
135/5141,j/ChrisJermaine,9
135/5141,b/ABonifati,21
135/5141,79/583,6
135/5141,b/FBonchi,3
135/5141,f/JulianaFreire,35
135/5141,31/3455,20
135/5141,94/2372,30
135/5141,f/MJFranklin,30
135/5141,a/GustavoAlonso,45
135/5141,w/RaymondChiWingWong,4
135/5141,88/6466-1,2
135/5141,24/8510,90
135/5141,b/SSBhowmick,21
135/5141,c/KSelcukCandan,10
135/5141,y/JXuYu,15
135/5141,55/5031,46
135/5141,o/MouradOuzzani,3
135/5141,c/SurajitChaudhuri,18
135/5141,135/7623,4
135/5141,37/3024,4
135/5141,s/IonStoica,13
135/5141,m/SamuelMadden,85
135/5141,a/AmrElAbbadi,22
135/5141,s/MichaelStonebraker,26
135/5141,w/MarianneWinslett,4
135/5141,m/JFMartinez,2
135/5141,40/7459,8
135/5141,s/AmbujKSingh,6
135/5141,a/ArvindArasu,6
135/5141,r/KARoss,4
135/5141,a/DivyakantAgrawal,18
135/5141,m/SharadMehrotra,3
135/5141,d/AmolDeshpande,11
135/5141,33/3180,6
135/5141,87/10957,19
135/5141,122/5424-2,2
135/5141,w/XiaoyangSeanWang,4
135/5141,m/TovaMilo,16
135/5141,56/2998-1,2
135/5141,48/5154,3
135/5141,g/DimitriosGunopulos,9
135/5141,v/VVassalos,14
135/5141,y/XifengYan,13
135/5141,97/919-1,71
135/5141,w/GerhardWeikum,21
135/5141,180/5761,33
135/5141,45/1559,7
135/5141,66/2556,6
135/5141,l/GuoliangLi,12
135/5141,89/6502,115
135/5141,02/4973,21
135/5141,85/1868,2
135/5141,m/IoanaManolescu,21
135/5141,l/ChengfeiLiu,4
135/5141,d/AlexDelis,9
135/5141,d/AlinDeutsch,10
135/5141,s/CyrusShahabi,5
135/5141,83/741,10
135/5141,182/0250,55
135/5141,99/6349,14
135/5141,74/2905,5
135/5141,14/7259,17
135/5141,s/DanSuciu,8
135/5141,t/WangChiewTan,21
135/5141,67/1328-10,5
135/5141,142/7802,3
135/5141,51/11411,15
135/5141,l/ALabrinidis,7
135/5141,p/YPapakonstantinou,11
135/5141,97/9726,3
135/5141,w/WeiWang,10
135/5141,154/0932,8
135/5141,k/GeorgeKollios,7
135/5141,151/8293,9
135/5141,185/1521,34
135/5141,130/8167,35
135/5141,a/DJAbadi,10
135/5141,08/6809-1,5
135/5141,150/7163,66
135/5141,131/6284,2
135/5141,47/3542-1,3
135/5141,131/2926,10
135/5141,d/AnHaiDoan,11
135/5141,67/2933,6
135/5141,09/6353,11
135/5141,36/2133,19
135/5141,64/7497,11
135/5141,45/2495,13
135/5141,27/2143,10
135/5141,01/3996,10
135/5141,63/9828,3
135/5141,08/7992,91
135/5141,g/AristidesGionis,2
135/5141,a/AnastassiaAilamaki,23
135/5141,46/3522,30
135/5141,04/1835,30
135/5141,c/CarloCurino,139
135/5141,d/ADeligiannakis,8
135/5141,09/404-1,24
135/5141,r/ChristopherRe,80
135/5141,s/DiveshSrivastava,4
135/5141,r/EARundensteiner,17
135/5141,o/FatmaOzcan,44
135/5141,77/1985,2
135/5141,81/10578,39
135/5141,s/KyuseokShim,12
135/5141,30/4308-1,40
135/5141,o/BengChinOoi,10
135/5141,m/AMachanavajjhala,13
135/5141,67/4834-4,10
135/5141,127/6195,3
135/5141,92/6981,16
135/5141,i/IhabFIlyas,3
135/5141,c/IFCruz,3
135/5141,p/JMPatel,24
135/5141,w/HaixunWang,12
135/5141,t/LetiziaTanca,31
135/5141,d/XinLunaDong,14
135/5141,b/MagdalenaBalazinska,11
135/5141,47/8816,18
135/5141,82/231,14
135/5141,b/SrikantaJBedathur,5
135/5141,p/JianPei,6
135/5141,39/7183,29
135/5141,l/LVSLakshmanan,3
135/5141,26/5170,2
135/5141,51/792-2,16
135/5141,j/HVJagadish,17
135/5141,d/JensPeterDittrich,13
135/5141,c/LeiChen0002,12
135/5141,75/887,12
135/5141,20/1055,28
135/5141,m/SergeyMelnik,6
135/5141,g/SGhandeharizadeh,6
135/5141,a/SihemAmerYahia,24
135/5141,71/5974,8
135/5141,26/6037,42
135/5141,27/3375,47
135/5141,86/9726,24
135/5141,p/PaoloPapotti,3
135/5141,l/NinghuiLi,8
135/5141,65/5338,15
135/5141,n/ThomasNeumann,7
135/5141,75/5478,7
135/5141,25/2228,7
135/5141,89/6325,29
135/5141,i/YoshiharuIshikawa,2
135/5141,88/9060,21
135/5141,l/LinXuemin,5
135/5141,t/YufeiTao,3
135/5141,27/178,10
135/5141,58/4127,17
135/5141,n/FelixNaumann,28
135/5141,p/SParathasarathy,4
135/5141,89/2506-2,33
135/5141,83/2548,8
135/5141,08/7259,21
135/5141,z/XiaofangZhou,3
135/5141,a/WGAref,3
135/5141,s/SSudarshan1,2
135/5141,37/3868,53
135/5141,38/8707,7
135/5141,g/JohannesGehrke,8
135/5141,86/2859-1,3
135/5141,09/10814,11
135/5141,06/8315,3
135/5141,48/1707,5
135/5141,35/6569,8
135/5141,92/2820,10
135/5141,97/3036,12
135/5141,28/3904,2
135/5141,223/3148,4
135/5141,r/LouiqaRaschid,4
135/5141,80/6889,3
135/5141,160/1053,3
135/5141,18/10886,4
135/5141,w/JRWen,11
135/5141,116/5135,13
135/5141,83/5342-6,4
135/5141,52/8700,11
135/5141,54/4551,4
135/5141,t/AnthonyKHTung,7
135/5141,71/8700-1,4
135/5141,l/HuaLu,3
135/5141,z/DemetriosZeinalipourYazti,3
135/5141,33/1903,3
135/5141,129/6818,5
135/5141,06/3456-1,6
135/5141,131/4047,18
135/5141,73/3928-1,2
135/5141,79/1557,3
135/5141,20/6179-1,4
135/5141,17/6060-4,3
135/5141,25/7045-12,5
135/5141,19/2205,5
135/5141,71/5578,23
135/5141,05/5881,8
135/5141,87/11444,3
135/5141,28/949-1,6
135/5141,118/7229,15
135/5141,k/HenryFKorth,4
135/5141,h/AlonYHalevy,19
135/5141,28/568,11
135/5141,99/7868,5
135/5141,m/CMohan,6
135/5141,36/10568,21
135/5141,16/4915,13
135/5141,163/0574,6
135/5141,51/3529-1,3
135/5141,c/PKChrysanthis,25
135/5141,77/2970-1,3
135/5141,j/ChristianSJensen,3
