author_name,old_dblp_id,new_dblp_id
Benjamin Lee,https://dblp.org/pid/61/1146,https://dblp.org/pid/l/BenjaminCLee
Amir Kavyan Ziabari,https://dblp.org/pid/133/9875,https://dblp.org/pid/35/4637
Amro Awad,https://dblp.org/pid/147/0999,https://dblp.org/pid/35/4637
Boris Grot,https://dblp.org/pid/78/50,https://dblp.org/pid/35/4637
Bruce L. Jacob,https://dblp.org/pid/94/4067,https://dblp.org/pid/35/4637
Chao Li 0009,https://dblp.org/pid/66/190-9,https://dblp.org/pid/35/4637
Christopher W. Fletcher,https://dblp.org/pid/25/8166,https://dblp.org/pid/35/4637
Daniel A. Jiménez,https://dblp.org/pid/96/2151,https://dblp.org/pid/35/4637
Daniel Sánchez 0003,https://dblp.org/pid/67/2030-3,https://dblp.org/pid/35/4637
Daniel J. Sorin,https://dblp.org/pid/27/2064,https://dblp.org/pid/35/4637
David Brooks 0001,https://dblp.org/pid/30/135,https://dblp.org/pid/35/4637
David R. Kaeli,https://dblp.org/pid/k/DavidRKaeli,https://dblp.org/pid/35/4637
Emre Özer,https://dblp.org/pid/165/4503,https://dblp.org/pid/35/4637
Eric S. Chung,https://dblp.org/pid/29/3950,https://dblp.org/pid/35/4637
Eun Jung Kim 0001,https://dblp.org/pid/87/5080-1,https://dblp.org/pid/35/4637
Frank Mueller 0001,https://dblp.org/pid/46/2933-1,https://dblp.org/pid/35/4637
Gabriel H. Loh,https://dblp.org/pid/03/2782,https://dblp.org/pid/35/4637
Gilles Pokam,https://dblp.org/pid/78/3196,https://dblp.org/pid/35/4637
Haibo Chen 0001,https://dblp.org/pid/31/6601-1,https://dblp.org/pid/35/4637
Wei Zhang,https://dblp.org/pid/24/3562,https://dblp.org/pid/90/7721
Aditya Agrawal,https://dblp.org/pid/62/201,https://dblp.org/pid/53/4349
Junwhan Ahn,https://dblp.org/pid/38/1130,https://dblp.org/pid/68/9256
Geoffrey Burr,https://dblp.org/pid/117/3197,https://dblp.org/pid/67/3435
Zhenman Fang,https://dblp.org/pid/80/1641,https://dblp.org/pid/44/10032
Seonyeong Heo,https://dblp.org/pid/x/YuanXie,https://dblp.org/pid/173/9818
Jen-Cheng Huang,https://dblp.org/pid/99/2747-1,https://dblp.org/pid/40/10369
Paolo Ienne,https://dblp.org/pid/127/9591,https://dblp.org/pid/i/PIenne
KH Kim,https://dblp.org/pid/72/8314-1,https://dblp.org/pid/248/4084
James Laudon,https://dblp.org/pid/08/6937,https://dblp.org/pid/65/336
Tao Li,https://dblp.org/pid/70/8170-1,https://dblp.org/pid/75/4601-6
Binh Pham,https://dblp.org/pid/181/2751-3,https://dblp.org/pid/181/2751-3
Matthew Sinclair,https://dblp.org/pid/38/7914,https://dblp.org/pid/27/9796
Ganesh Dasika,https://dblp.org/pid/175/6248,https://dblp.org/pid/10/6715
Rui Hou,https://dblp.org/pid/79/3631,https://dblp.org/pid/79/3631-1
Shuang Song,https://dblp.org/pid/86/4211-7,https://dblp.org/pid/86/4211-7
Yu-Hsin Chen,https://dblp.org/pid/22/4963,https://dblp.org/pid/22/4963
James Smith,https://dblp.org/pid/17/1987,https://dblp.org/pid/17/1987-1
John Carter,https://dblp.org/pid/91/4347,https://dblp.org/pid/c/JohnBCarter
Martha Kim,https://dblp.org/pid/m/MarthaMercaldi,https://dblp.org/pid/29/10949
Song Han,https://dblp.org/pid/80/806,https://dblp.org/pid/80/806-3
Tim Rogers,https://dblp.org/pid/04/9508,https://dblp.org/pid/55/11281
Reza Hojabr,https://dblp.org/pid/98/1014,https://dblp.org/pid/172/4942
Lei Jiang,https://dblp.org/pid/96/1994,https://dblp.org/pid/96/1994-1
Dongyoon Lee,https://dblp.org/pid/218/6005,https://dblp.org/pid/90/4053
Jian Li,https://dblp.org/pid/20/4145,https://dblp.org/pid/33/5448-59
